"id","nom","pouvoir_categorie","pouvoir_type","pouvoir_composante","description","pouvoir_type_libelle","figure","institution_type"
"EX1","gouvernement","pouvoir","executif","gouvernement","Pourcentage de femmes au gouvernement","Pouvoir exécutif ","figure1a","gouvernement"
"EX2","gouv_postes_regaliens","pouvoir","executif","ministeres_regaliens","Pourcentage de femmes aux postes régaliens","Pouvoir exécutif ","figure1b","gouvernement"
"EX3","cabinet_president","pouvoir","executif","cabinet_presidence","Pourcentage de femmes dans le cabinet du Président de la République","Pouvoir exécutif ","figure1c","gouvernement"
"EX4","cabinet_premier_ministre","pouvoir","executif","cabiner_premier_ministre","Pourcentage de femmes dans le cabinet du Premier Ministre","Pouvoir exécutif ","figure1d","gouvernement"
"EX5","dir_cab_ministeres","pouvoir","executif","directrices_cabinet_gouvernement","Pourcentage de femmes dirigeants un cabinet au sein du gouvernement","Pouvoir exécutif ","figure1e","gouvernement"
"P1","","","","","Pourcentage de femmes députées","Pouvoir parlementaire","figure2a","parlement"
"P2","","","","","Pourcentage de femmes président une commission à l'AN","Pouvoir parlementaire","figure2b","parlement"
"P3","","","","","Pourcentage de femmes au sein du bureau de l'Assemblée Nationale","Pouvoir parlementaire","figure2c","parlement"
"P4","","","","","Pourcentage de femmes présidant un groupe à l'AN","Pouvoir parlementaire","figure2d","parlement"
"P5","","","","","Pourcentage de femmes sénatrices","Pouvoir parlementaire","figure3a","senat"
"P6","","","","","Pourcentage de femmes présidant une commission au Sénat","Pouvoir parlementaire","figure3b","senat"
"P7","","","","","Pourcentage de femme au bureau du Sénat","Pouvoir parlementaire","figure3c","senat"
"P8","","","","","Pourcentage de femmes présidant un groupe au Sénat","Pouvoir parlementaire","figure3d","senat"
"P9","","","","","Pourcentage de femmes députées européennes en 2024","Pouvoir parlementaire","figure4","parlement_europeen"
"L1","mairies","","local","maires","Pourcentage de femmes maires","Pouvoir local ","figure5a","mairie"
"L2","mairies_prefectures","","local","mairesPrefecture","Pourcentage de femmes maires de préfectures","Pouvoir local ","figure5b","mairie"
"","mairies_plm_arr","","local","mairesPLMArrondissement","Pourcentage de femmes maires d'arrondissements PLM","Pouvoir local ","","mairie"
"L3","","","","","Pourcentage de femmes directrices de cabinet des mairies des préfectures en France","Pouvoir local ","","mairie"
"L4","","","","","Pourcentage de femmes présidant un département","Pouvoir local ","figure6a","departement"
"L5","","","","","Pourcentage de femmes directrices de cabinet d'un président-e de département","Pouvoir local ","figure6b","departement"
"L6","","","","","Pourcentage de femmes présidant une région","Pouvoir local ","figure7a","region"
"L7","","","","","Pourcentage de femmes directrice de cabinet des régions","Pouvoir local ","figure7b","region"
"AP1","hautes_juridictions","pouvoir_autres","autre","hautes_juridictions","Pourcentage de hautes juridictions présidées par de femmes","Autre Pouvoir","figure8","haute_juridiction"
"AP2","prefectures","pouvoir_autres","autre","prefectures","Pourcentage de femmes préfètes","Autre Pouvoir","figure9","prefecture"
"AP3","ambassades","pouvoir_autres","autre","ambassades","Pourcentage de femmes ambassadrices","Autre Pouvoir","figure10","ambassade"
"AP4","agences_hautes_autorites","pouvoir_autres","autre","haute_autorite","Pourcentage de femmes président une haute autorité ou agences françaises","Autre Pouvoir","figure11","agence"
"AP5","partis_politiques","pouvoir_autres","autre","partis_politiques","Pourcentage de femmes à a tête des principaux parti politique français","Autre Pouvoir","","parti_politique"
