"administration","fonction"
"Cour des comptes","Première présidente|Premier président"
"Cour de cassation","Première présidente|Premier président"
"Conseil d'État","Vice-président|Vice-présidente"
"Conseil constitutionnel","Président|Présidente"
"Cour de justice de la République","Président|Présidente"
