"administration","fonction"
"Agence française de développement","Président du conseil d'administration|Présidente du conseil d'administration"
"Agence française de lutte contre le dopage (AFLD)","Président|Présidente"
"Autorité de contrôle des nuisances aéroportuaires","Président|Présidente"
"Autorité de contrôle prudentiel et de résolution (ACPR)","Président|Présidente"
"Autorité de la concurrence","Président|Présidente"
"Autorité de régulation de la communication audiovisuelle et numérique (Arcom)","Président|Présidente"
"Autorité de régulation des communications électroniques, des postes et de la distribution de la presse (ARCEP)","Présidente de l'ARCEP|Président de l'ARCEP"
"Autorité de régulation des transports (ART)","Président|Présidente"
"Autorité de sûreté nucléaire et de radioprotection","Directeur général|Directrice générale"
"Autorité des marchés financiers","Président|Présidente"
"Autorité nationale des jeux","Président|Présidente"
"Banque de France","Gouverneur de la Banque de France|Gouverneure de la Banque de France"
"Bpifrance (Banque publique d’investissement)",""
"Caisse des dépôts et consignations","Directeur général|Directrice générale"
"CNP Assurances",""
"Collège de l'Autorité de sûreté nucléaire (ASN)","Président|Présidente"
"Comité consultatif national d’éthique (CCNE) pour les sciences de la vie et de la santé","Président|Présidente"
"Comité de règlement des différends et des sanctions","Président|Présidente"
"Commission d'accès aux documents administratifs","Président|Présidente"
"Commission de régulation de l'énergie","Président|Présidente"
"Commission des participations et des transferts (CPT)",""
"Commission des sondages","Président|Présidente"
"Commission du secret de la défense nationale","Président|Présidente"
"Commission nationale de contrôle des techniques de renseignement (CNCTR)","Président|Présidente"
"Commission nationale de l'informatique et des libertés","Président|Présidente"
"Commission nationale des comptes de campagne et des financements politiques (CNCCFP)","Président|Présidente"
"Commission nationale du débat public (CNDP)","Président|Présidente"
"Contrôleur général des lieux de privation de liberté (CGLPL)","Contrôleure générale des lieux de privation de liberté|Contrôleur général des lieux de privation de liberté"
"Défenseur des droits","Défenseure des droits|Défenseur des droits"
"Fonds de Garantie des Dépôts et de Résolution (FGDR)",""
"Fonds de Réserve pour les Retraites (FRR)",""
"Haut Conseil de l'évaluation de la recherche et de l'enseignement supérieur (HCERES)","Président|Présidente"
"Haute autorité de l'audit","Président|Présidente"
"Haute autorité de santé (HAS)","Président du collège|Présidente du collège"
"Haute Autorité pour la transparence de la vie publique","Président|Présidente"
"La Banque Postale",""
"Médiateur national de l'énergie","Médiateur national de l'énergie|Médiatrice nationale de l'énergie"
"SFIL (Société de financement local)",""
