"administration","nom","prenom","civilite","fonction","type_organisme","modification","commentaires"
"Pôle Parlementaire","JOLLET","Guillaume","M.","Conseiller parlementaire","Cabinet ministériel","",""
"Pôle Parlementaire","THÉRÉAU","Loïc","M.","Conseiller parlementaire","Cabinet ministériel","",""
"Pôle Intérieur et territoires","BREDIN","Stéphane","M.","Conseiller intérieur et territoires, chef de pôle","Cabinet ministériel","",""
"Pôle Intérieur et territoires","FRETIN-BRUNET","Clothilde","Mme","Conseillère aménagement du territoire","Cabinet ministériel","",""
"Pôle Intérieur et territoires","METIVET","Olivier","M.","Conseiller sécurité intérieure","Cabinet ministériel","",""
"Pôle Intérieur et territoires","MARMION","Olivier","M.","Conseiller affaires intérieures et immigration","Cabinet ministériel","",""
"Pôle Intérieur et territoires","CALABRIN","Claudie","Mme","Conseillère finances locales et action publique territoriale","Cabinet ministériel","",""
"Pôle Intérieur et territoires","SIMOES","Sébastien","M.","Conseiller collectivités territoriales et simplification","Cabinet ministériel","",""
"Pôle Intérieur et territoires","DUBOUIS","Louis","M.","Conseiller technique territoires et affaires réservées","Cabinet ministériel","",""
"Pôle Économie, finances, industrie et numérique","CHAMBRE","Romain","M.","Conseiller économie, finances, industrie et numérique, chef du pôle","Cabinet ministériel","",""
"Pôle Économie, finances, industrie et numérique","STAUB","Franck","M.","Conseiller consommation, commerce et artisanat","Cabinet ministériel","",""
"Pôle Économie, finances, industrie et numérique","LAVERGNE","Marie-Anne","Mme","Conseillère services financiers et économie internationale","Cabinet ministériel","",""
"Pôle Économie, finances, industrie et numérique","EYMEOUD","Jean-Benoit","M.","Conseiller macroéconomie et politique publique","Cabinet ministériel","",""
"Pôle Économie, finances, industrie et numérique","PRIOU","Marc-Henri","M.","Conseiller fiscalité et prélèvements obligatoires","Cabinet ministériel","",""
"Pôle Économie, finances, industrie et numérique","MEARY","Manon","Mme","Conseillère industrie, innovation et transition écologique","Cabinet ministériel","",""
"Pôle Argumentaire, discours et opinion","GADRIOT","Gautier","M.","Conseiller discours, argumentaires et opinion (chef de pôle)","Cabinet ministériel","",""
"Pôle Argumentaire, discours et opinion","MARTY","Louis","M.","Conseiller discours","Cabinet ministériel","",""
"Pôle Communication","RUTKOWSKA","Dominika","Mme","Cheffe du pôle","Administration centrale (ou Ministère)","",""
"Pôle Environnement, énergie, transport et logement","TEJEDOR","Vincent","M.","Conseiller environnement, énergie, transport et logement, chef du pôle","Cabinet ministériel","",""
"Pôle Environnement, énergie, transport et logement","ZAHM","Anne-Luce","Mme","Conseillère environnement","Cabinet ministériel","",""
"Pôle Environnement, énergie, transport et logement","BORDIER","Romain","M.","Conseiller logement","Cabinet ministériel","",""
"Pôle Environnement, énergie, transport et logement","BOUYT","Guillaume","M.","Conseiller énergie","Cabinet ministériel","",""
"Pôle Environnement, énergie, transport et logement","WOLF-BERTHELAY","Elsa","Mme","Conseillère transport","Cabinet ministériel","",""
"Cabinet du Premier ministre","GUSTIN","Philippe","M.","Directeur du cabinet","Cabinet ministériel","",""
"Cabinet du Premier ministre","DUPLAY","Renaud","M.","Directeur adjoint du cabinet","Cabinet ministériel","",""
"Cabinet du Premier ministre","VERDIN","Paul-Hugo","M.","Chef du cabinet","Cabinet ministériel","",""
"Cabinet du Premier ministre","TESSA","Marianne","Mme","Cheffe adjointe du cabinet","Cabinet ministériel","",""
"Cabinet du Premier ministre","BECHON","Jean-Christophe","M.","Chef du cabinet militaire","Cabinet ministériel","",""
"Cabinet du Premier ministre","MAZIERE","Jeanne","Mme","Conseillère","Cabinet ministériel","",""
"Cabinet du Premier ministre","CARMIER","David","M.","Conseiller spécial","Cabinet ministériel","",""
"Cabinet du Premier ministre","DOMINATI","Laurent","M.","Conseiller auprès du Premier ministre","Cabinet ministériel","",""
"Cabinet du Premier ministre","","","","Conseillère auprès du directeur du cabinet","Cabinet ministériel","",""
"Cabinet du Premier ministre","FACON","Adrien","M.","Conseiller auprès du directeur de cabinet, chargé de la souveraineté, du numérique et de l'intelligence artificielle","Cabinet ministériel","",""
"Cabinet du Premier ministre","CHARBON","Marguerite","Mme","Conseillère technique","Cabinet ministériel","",""
"Cabinet du Premier ministre","CHOUFFOT","Nolwenn","Mme","Chargée de mission auprès du Premier ministre","Cabinet ministériel","",""
"Cabinet du Premier ministre","RONGIER","Anne-Charlotte","M.","Chargée de mission auprès du Premier ministre","Cabinet ministériel","",""
"Pôle Comptes publics et transformation publique","MESTRIUS","Roxane","Mme","Conseillère comptes publics et transformation publique, cheffe du pôle","Cabinet ministériel","",""
"Pôle Comptes publics et transformation publique","VANDAMME","Axel","M.","Conseiller fonction publique","Cabinet ministériel","",""
"Pôle Comptes publics et transformation publique","DEJEAN DE LA BÂTIE","Paul","M.","Conseiller budgétaire","Cabinet ministériel","",""
"Pôle Presse","PERRIN","Victoire","Mme","Conseillère presse, cheffe du pôle","Cabinet ministériel","",""
"Pôle Presse","","","","Conseiller technique presse","Cabinet ministériel","",""
"Pôle Presse","THOMAS","Kathleen","Mme","Conseillère technique presse","Cabinet ministériel","",""
"Pôle Presse","GORCE","Lou-Chiara","Mme","Conseillère technique presse","Cabinet ministériel","",""
"Pôle Presse","ROUVET","Emma","Mme","Conseillère technique réseaux sociaux","Cabinet ministériel","",""
"Pôle Presse","LE SANT","Benjamin","M.","Conseiller technique presse","Cabinet ministériel","",""
"Pôle Communication","LEVESQUE","Romain","M.","Conseiller communication, chef du pôle","Cabinet ministériel","",""
"Pôle Europe","PUISAIS-JAUVIN","Emmanuel","M.","Conseiller affaires européennes, chef du pôle","Cabinet ministériel","",""
"Pôle Europe","MONNÉ","Claire","Mme","Conseillère Affaires européennes","Cabinet ministériel","",""
"Pôle Parlementaire","HUGON","Clément","M.","Conseiller parlementaire","Cabinet ministériel","",""
"Pôle Parlementaire","SICRE","Yanis","M.","Conseiller parlementaire","Cabinet ministériel","",""
"Pôle Parlementaire","JAMBON","Chloé","Mme","Conseillère parlementaire","Cabinet ministériel","",""
"Pôle Culture et médias","LIOGIER","Luc","M.","Conseiller Culture et Médias, chef de pôle","Cabinet ministériel","",""
"Pôle Culture et médias","HÉRAULT","Maxime","M.","Conseiller technique presse","Cabinet ministériel","",""
"Pôle Parlementaire","MOREAU","François","M.","Conseiller parlementaire, chef de pôle","Cabinet ministériel","",""
"Pôle Parlementaire","MADDALONE","Agathe","Mme","Conseillère technique parlementaire","Cabinet ministériel","",""
"Pôle Outre-Mer","LENOBLE","Laurent","M.","Conseiller outre-mer, chef du pôle","Cabinet ministériel","",""
"Pôle Outre-Mer","LEON","Franck","M.","Conseiller Outre-mer","Cabinet ministériel","",""
"Pôle Social","BAZIN","Paul","M.","Conseiller social, chef du pôle","Cabinet ministériel","",""
"Pôle Social","DELESCLUSE","Sébastien","M.","Conseiller santé","Cabinet ministériel","",""
"Pôle Social","DE ROUBIN","Alix","Mme","Conseillère solidarités","Cabinet ministériel","",""
"Pôle Social","LEOST","Hervé","M.","Conseiller travail, emploi et formation","Cabinet ministériel","",""
"Pôle Social","BARRAUD","Etienne","M.","Conseiller comptes sociaux","Cabinet ministériel","",""
"Pôle Éducation nationale, enseignement supérieur, recherche, jeunesse et sports","BRANDOUY","Olivier","M.","Conseiller éducation nationale, enseignement supérieur, recherche, jeunesse et sports, chef du pôle","Cabinet ministériel","",""
"Pôle Éducation nationale, enseignement supérieur, recherche, jeunesse et sports","LALOUX","Cécile","Mme","Conseillère éducation, enseignement et recherche","Cabinet ministériel","",""
"Pôle Éducation nationale, enseignement supérieur, recherche, jeunesse et sports","GRYGOWSKI","Dimitri","M.","Conseiller sport, jeunesse et vie associative","Cabinet ministériel","",""
"Pôle Agriculture, alimentation, pêche, chasse et forêt","HELLEISEN","Philippe","M.","Conseiller agriculture, alimentation, pêche, chasse et forêt, chef du pôle","Cabinet ministériel","",""
"Pôle Justice","HENNEBELLE","Nicolas","M.","Conseiller justice, chef du pôle","Cabinet ministériel","",""
"Pôle Diplomatique","CRUAU","Axel","M.","Conseiller diplomatique, chef du pôle","Cabinet ministériel","",""
"Pôle Diplomatique","PETIT","Camille","Mme","Conseillère diplomatique","Cabinet ministériel","",""
"Pôle Diplomatique","PONT","Brieuc","M.","Conseiller diplomatique","Cabinet ministériel","",""
