"administration","nom","prenom","civilite","fonction","type_organisme","modification","commentaires"
"Ambassade de France BRUNEI - Bandar Seri Begawan","LUBIN","Eve","Mme","Ambassadrice","Ambassade ou mission diplomatique","",""
"Ambassade de France AUSTRALIE - Canberra","","","","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France MOLDAVIE - Chisinau","WAAG","Dominique","Mme","Ambassadrice","Ambassade ou mission diplomatique","",""
"Ambassade de France SUÈDE - Stockholm","CARLIER","Thierry","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France TURKMÉNISTAN - Achgabat","MERLIN","Philippe","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France ZIMBABWÉ - Hararé","BARETS","Paul-Bertrand","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France SUISSE - Berne","PARADAS","Marion","Mme","Ambassadrice","Ambassade ou mission diplomatique","",""
"Ambassade de France ÉGYPTE - Le Caire","CHEVALLIER","Éric","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France HAÏTI - Port-au-Prince","MICHON","Antoine","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France BAHREIN - Manama","GIRAUD-TELME","Eric","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France CROATIE - Zagreb","FIESCHI","Fabien","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France BOLIVIE - La Paz","FONTAN","Olivier","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France CÔTE-D'IVOIRE - Abidjan","BELLIARD","Jean-Christophe","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France BIÉLORUSSIE - Minsk","","","","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France NAMIBIE - Windhoek","VIGNEAU","Cécile","Mme","Ambassadrice","Ambassade ou mission diplomatique","",""
"Ambassadeur chargé de la coopération régionale dans la zone Atlantique","MENTRE","Arnaud","M.","Ambassadeur","Administration centrale (ou Ministère)","",""
"Ambassade de France MONGOLIE - Oulan-Bator","PEREIRA DA SILVA","Corinne","Mme","Ambassadrice","Ambassade ou mission diplomatique","",""
"Ambassade de France QATAR - Doha","PESCHEUX","Arnaud","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France VANUATU - Port-Vila","JEANGÈNE-VILMER","Jean-Baptiste","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France ÉTATS-UNIS - Washington","BILI","Laurent","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France BOTSWANA - Gaborone","BARABAN","Valérie","Mme","Ambassadrice","Ambassade ou mission diplomatique","",""
"Représentation permanente de la France auprès de l'Organisation pour l'interdiction des armes chimiques (OIAC) - La Haye","ALABRUNE","François","M.","Ambassadeur, représentant permanent de la France auprès de l'OIAC","Administration centrale (ou Ministère)","",""
"Ambassade de France CONGO - Brazzaville","MARÉCHAUX","Rémi","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France ESTONIE - Tallinn","MIGNOT","Emmanuel","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassadeur délégué à l'environnement","POMPILI","Barbara","Mme","Ambassadrice déléguée","Administration centrale (ou Ministère)","",""
"Ambassade de France CAP-VERT - Praia","MANCIP","Catherine","Mme","Ambassadrice","Ambassade ou mission diplomatique","",""
"Ambassade de France BOSNIE-HERZÉGOVINE - Sarajevo","DELMAS","François","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France TUNISIE - Tunis","GUEGUEN","Anne","Mme","Ambassadrice","Ambassade ou mission diplomatique","",""
"Ambassade de France OUZBÉKISTAN - Tachkent","FOUQUE","Walid","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France SERBIE - Belgrade","FERRARI","Florence","Mme","Ambassadrice","Ambassade ou mission diplomatique","",""
"Ambassade de France SRI LANKA - Colombo","LAMBERT","Rémi","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Représentation permanente de la France auprès de l'Office des Nations unies et des Organisations internationales - Vienne","JURGENSEN","Céline","Mme","Représentante permanente","Administration centrale (ou Ministère)","",""
"Ambassade de France MALAISIE - Kuala Lumpur","ABENSOUR","Marc","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France TOGO - Lomé","FAVEREAU","Augustin","M.","Ambassadrice","Ambassade ou mission diplomatique","",""
"Ambassade de France UKRAINE - Kiev","VEYSSIERE","Gaël","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France CANADA - Ottawa","MIRAILLET","Michel","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France ÉMIRATS ARABES UNIS - Abou Dabi","NIEMTCHINOW","Nicolas","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Représentation permanente de la France auprès de l'Organisation maritime internationale (OMI) - Londres","DE CARNÉ DE TRÉCESSON DE COËTLOGON","Marine","Mme","Ambassadrice, représentante permanente de la France auprès de l’Organisation maritime internationale","Administration centrale (ou Ministère)","",""
"Ambassade de France SEYCHELLES - Victoria","TALLINEAU","Anne","Mme","Ambassadrice","Ambassade ou mission diplomatique","",""
"Ambassade de France BÉNIN - Cotonou","CHOUAT","Nadège","Mme","Ambassadrice","Ambassade ou mission diplomatique","",""
"Ambassade de France SALVADOR - San Salvador","DENIS-BLANCHARDON","Anne","Mme","Ambassadrice","Ambassade ou mission diplomatique","",""
"Ambassade de France ITALIE - Rome","DESCÔTES","Anne-Marie","Mme","Ambassadrice","Ambassade ou mission diplomatique","",""
"Ambassade de France JORDANIE - Amman","GELLET","Franck","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France BIRMANIE - Rangoun","","","","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassadeur chargé des relations sociales internationales","JEANNEROT","Claude","M.","Ambassadeur","Administration centrale (ou Ministère)","",""
"Ambassade de France CHINE - Pékin","LORTHOLARY","Bertrand","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France NICARAGUA - Managua","DOÑA PÉREZ","Sonia","Mme","Ambassadrice","Ambassade ou mission diplomatique","",""
"Ambassade de France GRÈCE - Athènes","AUER","Laurence","Mme","Ambassadrice","Ambassade ou mission diplomatique","",""
"Ambassade de France JAMAIQUE - Kingston","ZISS","Marianne","Mme","Ambassadrice","Ambassade ou mission diplomatique","",""
"Ambassade de France BURKINA FASO - Ouagadougou","HALLADE","Luc","M.","Ambassadeur","Ambassade ou mission diplomatique","Modifié","Non renseigné"
"Ambassade de France INDONÉSIE - Jakarta","PENONE","Fabien","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France AUTRICHE - Vienne","PEYRAUD","Matthieu","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France GÉORGIE - Tbilissi","COURTEAUD","Olivier","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France ISRAËL - Tel-Aviv","JOURNES","Frédéric","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Représentation permanente de la France auprès des institutions des Nations unies pour l'alimentation et l'agriculture - Rome","STEHELIN","Tanguy","M.","Représentant permanent","Administration centrale (ou Ministère)","",""
"Ambassade de France NOUVELLE-ZÉLANDE - Wellington","BEAU","Laurence","Mme","Ambassadrice","Ambassade ou mission diplomatique","",""
"Ambassade de France BURUNDI - Bujumbura","","","","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France KOWEÏT - Koweït","GAUVIN","Olivier","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France PAKISTAN - Islamabad","GALEY","Nicolas","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France BELGIQUE - Bruxelles","LAPEYRE DE CABANES","Xavier","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France ARMÉNIE - Erevan","DECOTTIGNIES","Olivier","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Représentation permanente de la France auprès de l'Office des Nations unies - Genève","JURGENSEN","Céline","Mme","Représentante permanente","Administration centrale (ou Ministère)","",""
"Ambassade de France FIDJI - Suva","","","","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France CHILI - Santiago","ROGEAU","Cyrille","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France AFRIQUE DU SUD, LESOTHO et république du MALAWI - Pretoria","MARTINON","David","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France ALBANIE - Tirana","SUARD","Catherine","Mme","Ambassadrice","Ambassade ou mission diplomatique","",""
"Ambassade de France HONGRIE - Budapest","LACOTE","Jonathan","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France NIGER - Niamey","","","","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France TRINITÉ-ET-TOBAGO - Port d'Espagne","PIERRE","Guillaume","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France SINGAPOUR - Singapour","MARCHISIO","Stephen","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassadeur délégué aux investissements internationaux","CAGNI","Pascal","M.","Ambassadeur","Administration centrale (ou Ministère)","",""
"Ambassadeur délégué interministériel à la Méditerranée","HAI","Nadia","Mme","Ambassadrice, déléguée interministérielle à la Méditerranée","Administration centrale (ou Ministère)","",""
"Ambassade de France ROYAUME-UNI - Londres","TRÉHEUX-DUCHÊNE","Hélène","Mme","Ambassadrice","Ambassade ou mission diplomatique","",""
"Ambassade de France COSTA RICA - San José","IZZO","David","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France RÉPUBLIQUE DÉMOCRATIQUE DU CONGO - Kinshasa","","","","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France LETTONIE - Riga","LAFONT-RAPNOUIL","Manuel","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France SOUDAN - Khartoum","","","","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France ALGÉRIE - Alger","ROMATET","Stéphane","M.","Ambassadeur, haut représentant de la République française","Ambassade ou mission diplomatique","",""
"Ambassade de France PARAGUAY - Assomption","SOCCOJA","Pierre-Christian","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France SAINTE-LUCIE - Castries","DURIS","Marie-Noëlle","Mme","Ambassadrice","Ambassade ou mission diplomatique","",""
"Ambassade de France LIBÉRIA - Monrovia","LE GUELLEC","Isabelle","Mme","Ambassadrice","Ambassade ou mission diplomatique","",""
"Ambassade de France MADAGASCAR - Antananarivo","GUILLOIS","Arnaud","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassadeur à la gestion des crises à l'étranger","","","","Ambassadeur","Administration centrale (ou Ministère)","",""
"Représentation permanente de la France auprès de l'Organisation de coopération et de développement économiques - Paris","PIERRE","Cyrille","M.","Représentant permanent","Administration centrale (ou Ministère)","",""
"Ambassade de France AZERBAIDJAN - Bakou","LAGOUTTE","Sophie","Mme","Ambassadrice extraordinaire et plénipotentiaire","Ambassade ou mission diplomatique","",""
"Ambassade de France ARABIE SAOUDITE - Riyad","MAISONNAVE","Patrick","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France CHYPRE - Nicosie","CHEVRIER KOLACKO","Clélia","Mme","Ambassadrice","Ambassade ou mission diplomatique","",""
"Représentation permanente de la France auprès de l'Union européenne - Bruxelles","LEGLISE-COSTA","Philippe","M.","Représentant permanent","Administration centrale (ou Ministère)","",""
"Représentation permanente de la France auprès de l'Union européenne - Bruxelles","FELIX-PAGANON","Mathilde","Mme","Représentante permanente auprès du Comité politique et de sécurité (COPS)","Administration centrale (ou Ministère)","",""
"Ambassade de France KOSOVO - Pristina","GUEROT","Olivier","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France CAMEROUN - Yaoundé","RIQUIER","Sylvain","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France MALTE - La Valette","LELONG-MOTTA","Sandrine","Mme","Ambassadrice","Ambassade ou mission diplomatique","",""
"Ambassade de France RÉPUBLIQUE DOMINICAINE - Saint-Domingue","BARBRY","Sonia","Mme","Ambassadrice","Ambassade ou mission diplomatique","",""
"Ambassadrice en charge des questions de santé mondiale","AMPROU","Anne-Claire","Mme","Ambassadrice","Administration centrale (ou Ministère)","",""
"Représentation permanente de la France auprès de l'Organisation pour la sécurité et la coopération en Europe - Vienne","BENHABYLÈS-FOETH","Fatène","Mme","Représentante permanente","Administration centrale (ou Ministère)","",""
"Ambassade de France JAPON - Tokyo","LE FRAPER DU HELLEN","Béatrice","Mme","Ambassadrice","Ambassade ou mission diplomatique","",""
"Ambassade de France RWANDA - Kigali","ROYET-GOUNIN","Aurélie","Mme","Ambassadrice","Ambassade ou mission diplomatique","",""
"Représentation permanente de la France auprès de l'Organisation des Nations unies - New York","BONNAFONT","Jérôme","M.","Ambassadeur, représentant permanent de la France auprès de l’Organisation des Nations unies","Administration centrale (ou Ministère)","",""
"Ambassade de France MACÉDOINE du NORD- Skopje","LE RIGOLEUR","Christophe","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassadeur chargé de la stratégie internationale en matière de lutte contre le terrorisme","","","","Ambassadeur","Administration centrale (ou Ministère)","",""
"Délégation permanente de la France auprès de l'Organisation des Nations unies pour l'éducation, la science et la culture - Paris","GHARBI","Ahlem","Mme","Déléguée permanente","Administration centrale (ou Ministère)","",""
"Ambassadeur délégué à la coopération régionale dans la zone Antilles-Guyane","","","","Ambassadeur","Administration centrale (ou Ministère)","",""
"Ambassade de France URUGUAY - Montevideo","BIOTEAU","Virginie","Mme","Ambassadrice","Ambassade ou mission diplomatique","",""
"Ambassade de France PORTUGAL - Lisbonne","FARNAUD-DEFROMONT","Hélène","Mme","Ambassadrice extraordinaire et plénipotentiaire","Ambassade ou mission diplomatique","",""
"Ambassade de France ÉTHIOPIE - Addis-Abeba","LAMEK","Alexis","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassadeur pour le partenariat oriental de l'Union européenne et de la mer Noire","","","","Ambassadeur","Administration centrale (ou Ministère)","",""
"Ambassade de France CUBA - La Havane","TRANNOY","Raphaël","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France SURINAME et GUYANA - Paramaribo","PLANÇON","Olivier","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassadeur pour les droits de l'homme, chargé de la dimension internationale de la Shoah, des spoliations et du devoir de mémoire","","","","Ambassadeur","Administration centrale (ou Ministère)","",""
"Ambassade de France COLOMBIE - Bogota","ITTÉ","Sylvain","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France KAZAKHSTAN - Astana","GUIAUGUE","Sylvain","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France COMORES - Moroni","CHAPON","Etienne","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France GHANA - Accra","DIME LABILLE","Diarra","Mme","Ambassadrice","Ambassade ou mission diplomatique","",""
"Ambassade de France CAMBODGE - Phnom Penh","RICHARD","Olivier","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France LIBAN - Beyrouth","MAGRO","Hervé","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France SAINT-SIÈGE - Rome","PERSONNAZ","Charles","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France MAROC - Rabat","LALLIOT","Philippe","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassadeur pour le numérique","CHAPPAZ","Clara","Mme","Ambassadeur pour le numérique","Administration centrale (ou Ministère)","",""
"Ambassade de France GUINÉE - Conakry","BRIARD","Luc","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France SLOVÉNIE - Ljubljana","RUNYO","Fabienne","Mme","Ambassadrice","Ambassade ou mission diplomatique","",""
"Ambassade de France NIGÉRIA - Abuja","FONBAUSTIER","Marc","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France ZAMBIE - Lusaka","ROSSIGNOL","Thomas","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France DJIBOUTI - Djibouti","BRESSON","Jérôme","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France ANGOLA - Luanda","AUBERT","Sophie","Mme","Ambassadrice","Ambassade ou mission diplomatique","",""
"Ambassade de France SOUDAN DU SUD - Djouba","MICHEL-KLEISBAUER","Philippe","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France NORVÈGE - Oslo","ROBINE","Florence","Mme","Ambassadrice","Ambassade ou mission diplomatique","",""
"Ambassade de France FINLANDE - Helsinki","RABIA","Raja","Mme","Ambassadrice","Ambassade ou mission diplomatique","",""
"Ambassade de France MONTÉNÉGRO - Podgorica","MASKAY","Anne-Marie","Mme","Ambassadrice","Ambassade ou mission diplomatique","",""
"Ambassade de France IRAK - Bagdad","DUREL","Patrick","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassadeur délégué à la coopération régionale dans la zone de l'océan Indien","BRUNET","Jean-Claude","M.","Ambassadeur","Administration centrale (ou Ministère)","",""
"Ambassade de France MONACO - Monaco","D'HAUSSONVILLE","Jean","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France ANDORRE - Andorre-la-Vieille","EYBALIN","Nicolas","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France IRAN - Téhéran","COCHARD","Pierre","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Représentation permanente de la France auprès de la Conférence du désarmement - Genève","LAZAR-SURY","Anne","Mme","Représentante permanente","Administration centrale (ou Ministère)","",""
"Ambassade de France LUXEMBOURG - Luxembourg","BOUCHARD","Christophe","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassadrice chargée de la lutte contre le virus de l'immunodéficience humaine-syndrome de l'immunodéficience acquise (VIH-sida) et les maladies transmissibles","","","","Ambassadeur","Administration centrale (ou Ministère)","",""
"Ambassade de France ISLANDE - Reykjavik","BAZARD","Guillaume","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France TADJIKISTAN - Douchanbé","PIGNOL","Elsa","Mme","Ambassadrice","Ambassade ou mission diplomatique","",""
"Ambassadeur pour les commissions intergouvernementales, la coopération et les questions frontalières","MEYER","Joël","M.","Ambassadeur","Administration centrale (ou Ministère)","",""
"Ambassade de France BRÉSIL - Brasilia","LENAIN","Emmanuel","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France KIRGHIZSTAN - Bichkek","FAYE","Nicolas","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France BULGARIE - Sofia","DUMOULIN","Marie","Mme","Ambassadrice","Ambassade ou mission diplomatique","",""
"Ambassade de France MEXIQUE - Mexico","BORIONE","Delphine","Mme","Ambassadrice","Ambassade ou mission diplomatique","",""
"Représentation permanente de la France auprès du Conseil de l'Europe - Strasbourg","NDIAYE","Pap","M.","Représentant permanent","Administration centrale (ou Ministère)","",""
"Ambassade de France NÉPAL - Katmandou","CORTEVAL","Virginie","Mme","Ambassadrice","Ambassade ou mission diplomatique","",""
"Ambassade de France PAPOUASIE-NOUVELLE GUINÉE - Port Moresby","FOURNIER","Pierre","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassadrice chargée de la négociation internationale pour les pôles Arctique et Antarctique","","","","Ambassadrice","Administration centrale (ou Ministère)","",""
"Ambassadrice déléguée à la science, la technologie et l'innovation","","","","Ambassadeur","Administration centrale (ou Ministère)","",""
"Ambassade de France HONDURAS - Tegucigalpa","PRIETO","Cédric","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France ARGENTINE - Buenos Aires","NADAL","Romain","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France GUATEMALA - Guatemala ciudad","CLAVIER","Frédéric","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France LIBYE - Tripoli","VALLAT","Thierry","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France DANEMARK - Copenhague","PARISOT","Christophe","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France GUINÉE-BISSAO - Bissao","ROUX","Arnaud","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France MAURITANIE - Nouakchott","BESNIER","Emmanuel","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassadeur chargé des migrations","BAUMGARTNER","Cyrille","M.","Ambassadeur chargé des migrations","Administration centrale (ou Ministère)","",""
"Ambassade de France PHILIPPINES - Manille","FONTANEL","Marie","Mme","Ambassadrice","Ambassade ou mission diplomatique","",""
"Ambassade de France SÉNÉGAL et GAMBIE - Dakar","FAGES","Christine","Mme","Ambassadrice","Ambassade ou mission diplomatique","",""
"Ambassadeur chargé de mission pour l'action culturelle extérieure de la France","NGUYEN BINH","Eva","Mme","Ambassadrice","Administration centrale (ou Ministère)","",""
"Ambassade de France OMAN - Mascate","HAJLAOUI","Nabil","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Délégation de la France auprès de l'Union Africaine (UA) - Addis Abeba","","","","Délégué permanent","Administration centrale (ou Ministère)","",""
"Ambassade de France POLOGNE - Varsovie","DE MONTAIGNE DE PONCINS","Étienne","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Représentation permanente de la France au Conseil de l'Organisation du traité de l'Atlantique Nord - Bruxelles","CVACH","David","M.","Représentant permanent","Administration centrale (ou Ministère)","",""
"Ambassade de France VIETNAM - Hanoï","BROCHET","Olivier","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France MAURICE - Port-Louis","BONTEMS","Frédéric","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France RÉPUBLIQUE CENTRAFRICAINE - Bangui","FOUCHER","Bruno","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France GABON et SAO TOMÉ-ET-PRINCIPE - Libreville","MAURIES","Fabrice","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France RÉPUBLIQUE TCHÈQUE - Prague","CROUZAT","Stéphane","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France OUGANDA - Kampala","LEROY","Virginie","Mme","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassadeur en charge des pôles et des enjeux maritimes","POIVRE D'ARVOR","Olivier","M.","Ambassadeur en charge des pôles et des enjeux maritimes","Administration centrale (ou Ministère)","",""
"Ambassade de France BANGLADESH - Dacca","SERE-CHARLET","Jean-Marc","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Représentation permanente de la France auprès de la Commisssion économique et sociale pour l'Asie et le Pacifique - Bangkok","","","","Ambassadeur, représentant permanent de la France auprès de la CESAP","Administration centrale (ou Ministère)","",""
"Ambassade de France LAOS - Vientiane","DESCHAMPS","Bénédicte","Mme","Ambassadrice","Ambassade ou mission diplomatique","",""
"Ambassade de France MOZAMBIQUE et ESWATINI - Maputo","PRADEAU","Yann","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France KENYA - Nairobi","SUQUET","Arnaud","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France ROUMANIE - Bucarest","WARNERY","Nicolas","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France SLOVAQUIE - Bratislava","SURAN","Nicolas","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France PÉROU - Lima","KENNEDY","Nathalie","Mme","Ambassadrice","Ambassade ou mission diplomatique","",""
"Ambassade de France TURQUIE - Ankara","DUMONT","Isabelle","Mme","Ambassadrice","Ambassade ou mission diplomatique","",""
