"administration","nom","prenom","civilite","fonction","type_organisme","modification","commentaires"
"Ambassade de France ERYTHRÉE - Asmara","CAUCHARD","Jérôme","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France ALLEMAGNE - Berlin","DELATTRE","François","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France ESPAGNE - Madrid","RISPAL","Kareen","Mme","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France TCHAD - Ndjamena","GERARD","Eric","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France ÉQUATEUR - Quito","LETRILLIART","Philippe","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France TANZANIE - Dar-Es-Salam","AVÉ","Anne-Sophie","Mme","Ambassadrice","Ambassade ou mission diplomatique","",""
"Délégation permanente de la France auprès de l'Organisation mondiale du commerce - Genève","IVANOV-DURAND","Emmanuelle","Mme","Déléguée permanente","Administration centrale (ou Ministère)","",""
"Représentation permanente de la France auprès de l'Organisation de l'aviation civile internationale - Montréal","CORMON-VEYSSIÈRE","Florence","Mme","Représentant permanent","Administration centrale (ou Ministère)","",""
"Délégation française auprès de l'Organisation des États américains - Washington","GIUSTI","Céline","Mme","Ambassadrice, observatrice permanente","Administration centrale (ou Ministère)","",""
"Ambassadeur chargé des négociations sur le changement climatique, pour les énergies renouvelables et la prévention des risques climatiques","FARACO","Benoît","M.","Ambassadeur","Administration centrale (ou Ministère)","",""
"Ambassade de France AFGHANISTAN - Kaboul","","","","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France THAÏLANDE - Bangkok","POIMBOEUF","Jean-Claude","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France PANAMA et BAHAMAS - Panama","DE AMORIM","Aude","Mme","Ambassadrice","Ambassade ou mission diplomatique","",""
"Ambassade de France RUSSIE - Moscou","DE RIVIERE","Nicolas","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France PAYS-BAS - La Haye","ALABRUNE","François","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France CORÉE DU SUD - Séoul","BERTOUX","Philippe","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France LITUANIE - Vilnius","STEPANYAN","Lucie","Mme","Ambassadrice","Ambassade ou mission diplomatique","",""
"Ambassade de France INDE - New Delhi","MATHOU","Thierry","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France GUINÉE ÉQUATORIALE - Malabo","POLONCEAUX","Laurent","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France VENEZUELA - Caracas","PINEDA","Emmanuel","M.","Ambassadeur","Ambassade ou mission diplomatique","",""
"Ambassade de France IRLANDE - Dublin","PLACE","Céline","Mme","Ambassadrice","Ambassade ou mission diplomatique","",""
"Représentation de la France auprès de la Communauté du Pacifique - Nouméa","ROGER-LACAN","Véronique","Mme","Représentante permanente","Administration centrale (ou Ministère)","",""
