administration,nom,prenom,civilite,fonction,type_organisme,code_insee_commune,modification,commentaires
Préfecture - Dordogne,AUBERT,Marie,Mme,Préfète,"Préfecture, sous-préfecture",24322,,
Préfecture - Allier,NOEL DU PAYRAT,Christophe,M.,Préfet,"Préfecture, sous-préfecture",03190,,
Préfecture - Aube,GAUCI,Pascal,M.,Préfet,"Préfecture, sous-préfecture",10387,,
Préfecture - Charente-Maritime,PROSIC,Michel,M.,Préfet,"Préfecture, sous-préfecture",17300,,
Préfecture - Isère,SEGUIN,Catherine,Mme,Préfète,"Préfecture, sous-préfecture",38185,,
Préfecture - Puy-de-Dôme,FRACKOWIAK-JACOBS,Anne,Mme,Préfète,"Préfecture, sous-préfecture",63113,,
Préfecture - Gers,CASTANIER,Alain,M.,Préfet,"Préfecture, sous-préfecture",32013,,
Préfecture - Hautes-Pyrénées,SALOMON,Jean,M.,Préfet,"Préfecture, sous-préfecture",65440,,
Préfecture - Loire,BIEUVILLE,François-Xavier,M.,Préfet,"Préfecture, sous-préfecture",42218,,
Terres australes et antarctiques françaises (TAAF),QUIMBERT,Mikaël,M.,Préfet,"Préfecture, sous-préfecture",97416,,
Préfecture - Gard,BONET,Jérôme,M.,Préfet,"Préfecture, sous-préfecture",30189,,
Préfecture - Lozère,QUÉNÉHERVÉ,Gilles,M.,Préfet,"Préfecture, sous-préfecture",48095,,
Préfecture - Nord,GAUME,Bertrand,M.,Préfet,"Préfecture, sous-préfecture",59350,,
Préfecture - Haut-Rhin,AUBRY,Emmanuel,M.,Préfet,"Préfecture, sous-préfecture",68066,,
Préfecture - La Réunion,LATRON,Patrice,M.,Préfet,"Préfecture, sous-préfecture",97411,,
Représentation de l'État - Annexe de Saint-Martin,LE VELY,Cyrille,M.,Représentant de l'État,"Préfecture, sous-préfecture",97801,,
Préfecture - Aude,BUCQUET,Alain,M.,Préfet,"Préfecture, sous-préfecture",11069,,
Préfecture - Eure,DELARUE,Xavier,M.,Préfet,"Préfecture, sous-préfecture",27229,,
Préfecture - Vosges,GOURTAY,Blaise,M.,Préfet,"Préfecture, sous-préfecture",88160,,
Préfecture - Martinique,DESPLANQUES,Étienne,M.,Préfet,"Préfecture, sous-préfecture",97209,,
Préfecture - Indre,LE BRIGNONEN,Maryvonne,Mme,Préfète,"Préfecture, sous-préfecture",36044,,
Préfecture - Tarn,BERTOUX,Simon,M.,Préfet,"Préfecture, sous-préfecture",81004,,
Préfecture - Essonne,BALUSSOU,Fabienne,Mme,Préfète,"Préfecture, sous-préfecture",91228,,
Préfecture - Guadeloupe,DEVIMEUX,Thierry,M.,"Préfet de la région Guadeloupe, préfet de la Guadeloupe","Préfecture, sous-préfecture",97105,,
Préfecture - Hautes-Alpes,BAILBE,Philippe,M.,Préfet,"Préfecture, sous-préfecture",05061,,
Préfecture - Maine-et-Loire,PESNEAU,François,M.,Préfet,"Préfecture, sous-préfecture",49007,,
Préfecture - Val-de-Marne,BOURRON,Stanislas,M.,Préfet,"Préfecture, sous-préfecture",94028,,
Préfecture - Saône-et-Loire,DUFOUR,Dominique,M.,Préfet,"Préfecture, sous-préfecture",71270,,
Préfecture - Bouches-du-Rhône,WITKOWSKI,Jacques,M.,Préfet,"Préfecture, sous-préfecture",13203,,
Préfecture - Oise,CAILLAUD,Jean-Marie,M.,Préfet,"Préfecture, sous-préfecture",60057,,
Préfecture - Alpes-Maritimes,GIRIER,Jean-Marie,M.,Préfet,"Préfecture, sous-préfecture",06088,,
Préfecture de police - Bouches-du-Rhône,,,,Préfet,"Préfecture, sous-préfecture",13055,,
Préfecture - Haute-Loire,CORDIER,Yvan,M.,Préfet,"Préfecture, sous-préfecture",43157,,
Préfecture - Haute-Marne,PAM,Régine,Mme,Préfète,"Préfecture, sous-préfecture",52121,,
Préfecture - Landes,CLAVREUL,Gilles,M.,Préfète,"Préfecture, sous-préfecture",40192,,
Préfecture - Meuse,CANTON,Anne-Florence,Mme,Préfète,"Préfecture, sous-préfecture",55029,,
Préfecture - Mayenne,BAPTISTA,Nadège,Mme,Préfète,"Préfecture, sous-préfecture",53130,,
Préfecture - Moselle,BOLOT,Pascal,M.,Préfet,"Préfecture, sous-préfecture",57463,,
Préfecture - Loir-et-Cher,ZIMET,Joseph,M.,Préfet,"Préfecture, sous-préfecture",41018,,
Préfecture - Deux-Sèvres,FETET,Simon,M.,Préfet,"Préfecture, sous-préfecture",79191,,
Préfecture - Côtes-d'Armor,GUILLOTOU DE KERÉVER,François,M.,Préfet,"Préfecture, sous-préfecture",22278,,
Préfecture - Pyrénées-Atlantiques,,,,Préfet,"Préfecture, sous-préfecture",64445,,
Préfecture - Pyrénées-Orientales,REGNAULT DE LA MOTHE,Pierre,M.,Préfet,"Préfecture, sous-préfecture",66136,,
Préfecture - Finistère,LE FRANC,Louis,M.,Préfet,"Préfecture, sous-préfecture",29232,,
Préfecture - Lot,POULAIN,Marilyne,Mme,Préfète,"Préfecture, sous-préfecture",46042,,
Haut-commissariat de la République - Polynésie française,ROCHATTE,Alexandre,M.,"Haut-commissaire de la République, haut fonctionnaire de zone de défense et de sécurité Polynésie française","Préfecture, sous-préfecture",98735,,
Préfecture - Somme,MOUCHEL-BLAISOT,Rollon,M.,Préfet,"Préfecture, sous-préfecture",80021,,
Préfecture - Lot-et-Garonne,ANDRÉ,Bruno,M.,Préfet,"Préfecture, sous-préfecture",47001,,
Préfecture - Aisne,ANOR,Fanny,Mme,Préfète,"Préfecture, sous-préfecture",02408,,
Préfecture - Corrèze,BERTON,Vincent,M.,Préfet,"Préfecture, sous-préfecture",19272,,
Préfecture - Haute-Savoie,DUBÉE,Emmanuelle,Mme,"Préfète de la région Bretagne, préfète de la zone de défense et de sécurité Ouest, préfète d'Ille-et-Vilaine","Préfecture, sous-préfecture",74010,,
Préfecture - Savoie,NICOLI,Vanina,Mme,Préfète,"Préfecture, sous-préfecture",73065,,
Préfecture (Administration supérieure) - Wallis-et-Futuna,DE MANHEULLE,Jean-François,M.,"Préfet, administrateur supérieur","Préfecture, sous-préfecture",98613,,
Préfecture - Yvelines,BLONDEL,Brice,M.,Préfet,"Préfecture, sous-préfecture",78646,,
