code_commune,secteur,nom,prenom,genre,date_naissance,code_CSP,fonction,age,modification,commentaires
13055,Marseille Secteur 1,CAMARD,Sophie,F,1972-12-09,37,Maire d'arrondissement,53,,
13055,Marseille Secteur 2,KREHMEIER,Anthony,M,1986-10-04,85,Maire d'arrondissement,39,,
13055,Marseille Secteur 3,JAU,Didier,M,1969-10-22,34,Maire d'arrondissement,56,,
13055,Marseille Secteur 4,FORTIN,Olivia,F,1977-08-15,23,Maire d'arrondissement,48,,
13055,Marseille Secteur 5,BEZ,Eléonore,F,1976-06-24,85,Maire d'arrondissement,50,,
13055,Marseille Secteur 6,RIOULT,Olivier,M,1984-05-17,33,Maire d'arrondissement,42,,
13055,Marseille Secteur 7,BIARD SANSONETTI,Tina,F,1986-02-22,52,Maire d'arrondissement,40,,
13055,Marseille Secteur 8,COPPOLA,Jean-Marc,M,1960-01-21,77,Maire d'arrondissement,66,,
69123,Lyon 1Er Secteur,BOUÂGGA,Yasmine,F,1982-10-12,34,Maire d'arrondissement,43,,
69123,Lyon 2Eme Secteur,OLIVER,Pierre,M,1992-06-09,85,Maire d'arrondissement,34,,
69123,Lyon 3Eme Secteur,SESSIECQ,Marion,F,1973-10-02,74,Maire d'arrondissement,52,,
69123,Lyon 4Eme Secteur,ZINCK,Rémi,M,1966-05-07,34,Maire d'arrondissement,60,,
69123,Lyon 5Eme Secteur,RUDIGOZ,Thomas,M,1971-01-11,31,Maire d'arrondissement,55,,
69123,Lyon 6Eme Secteur,SOULIER,Samuel,M,1996-08-06,46,Maire d'arrondissement,29,,
69123,Lyon 7Eme Secteur,DUBOT,Fanny,F,1989-03-02,78,Maire d'arrondissement,37,,
69123,Lyon 8Eme Secteur,BERZANE,Olivier,M,1961-06-22,74,Maire d'arrondissement,65,,
69123,Lyon 9Eme Secteur,GIRAUD,Emmanuel,M,1975-06-06,38,Maire d'arrondissement,51,,
75056,Paris 10Eme Secteur,CORDEBARD,Alexandra,F,1967-01-01,37,Maire d'arrondissement,59,,
75056,Paris 11Eme Secteur,BELLIARD,David,M,1978-05-29,37,Maire d'arrondissement,48,,
75056,Paris 12Eme Secteur,CASTETS,Lucie,F,1987-03-03,33,Maire d'arrondissement,39,,
75056,Paris 13Eme Secteur,COUMET,Jérôme,M,1967-01-22,33,Maire d'arrondissement,59,,
75056,Paris 14Eme Secteur,PETIT,Carine,F,1974-06-26,33,Maire d'arrondissement,52,,
75056,Paris 15Eme Secteur,GOUJON,Philippe,M,1954-04-30,74,Maire d'arrondissement,72,,
75056,Paris 16Eme Secteur,REDLER,Jérémy,M,1981-11-07,37,Maire d'arrondissement,44,,
75056,Paris 17Eme Secteur,BOULARD,Geoffroy,M,1978-12-03,37,Maire d'arrondissement,47,,
75056,Paris 18Eme Secteur,LEJOINDRE,Eric,M,1980-05-17,33,Maire d'arrondissement,46,,
75056,Paris 19Eme Secteur,DAGNAUD,François,M,1962-01-04,86,Maire d'arrondissement,64,,
75056,Paris 1Er Secteur,WEIL,Ariel,M,1973-06-05,37,Maire d'arrondissement,53,,
75056,Paris 20Eme Secteur,PLIEZ,Eric,M,1956-10-17,43,Maire d'arrondissement,69,,
75056,Paris 5Eme Secteur,BERTHOUT,Florence,F,1962-06-25,35,Maire d'arrondissement,64,,
75056,Paris 6Eme Secteur,LECOQ,Jean-Pierre,M,1954-07-18,33,Maire d'arrondissement,71,,
75056,Paris 7Eme Secteur,DATI,Rachida,F,1965-11-27,33,Maire d'arrondissement,60,,
75056,Paris 8Eme Secteur,LÉCUYER,Catherine,F,1973-02-01,33,Maire d'arrondissement,53,,
75056,Paris 9Eme Secteur,BÜRKLI,Delphine,F,1974-06-05,33,Maire d'arrondissement,52,,
