personne_raw_text,personne_nom_complet,personne_civilite,personne_prenom,personne_nom,personne_genre,groupe_politique_libelle,poste_libelle,zone_geographique_libelle,zone_geographique_type,source_url
Mme Loranne BAILLY,Mme Loranne BAILLY,Mme,Loranne,BAILLY,F,,Directrice générale des services (DGS),Bretagne,région,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Frédéric OLLIVIER,M. Frédéric OLLIVIER,M.,Frédéric,OLLIVIER,M,,Directeur général des services (DGS),Normandie,région,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Simon MUNSCH,M. Simon MUNSCH,M.,Simon,MUNSCH,M,,Directeur général des services (DGS),Occitanie,région,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Jean-Louis BOUCARD,M. Jean-Louis BOUCARD,M.,Jean-Louis,BOUCARD,M,,Directeur général des services (DGS),Guadeloupe,région,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. François POUPARD,M. François POUPARD,M.,François,POUPARD,M,,Directeur général des services (DGS),Nouvelle-Aquitaine,région,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. François CHARLIER,M. François CHARLIER,M.,François,CHARLIER,M,,Directeur général des services (DGS),Grand Est,région,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Gilles DA COSTA,M. Gilles DA COSTA,M.,Gilles,DA COSTA,M,,Directeur général des services (DGS),Bourgogne-Franche-Comté,région,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Xavier TAQUET,M. Xavier TAQUET,M.,Xavier,TAQUET,M,,Directeur de cabinet, Hauts-de-France,région,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Delphine JOLY,Mme Delphine JOLY,Mme,Delphine,JOLY,F,,Directrice générale des services (DGS),Auvergne-Rhône-Alpes,région,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Xavier DAUDIN-CLAVAUD,M. Xavier DAUDIN-CLAVAUD,M.,Xavier,DAUDIN-CLAVAUD,M,,Directeur général des services (DGS),Île-de-France,région,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Michel GUENNEAU,M. Michel GUENNEAU,M.,Michel,GUENNEAU,M,,Directeur général des services (DGS),Pays de la Loire,région,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Florence PELEAU‐LABIGNE,Mme Florence PELEAU‐LABIGNE,Mme,Florence,PELEAU‐LABIGNE,F,,Directrice générale des services (DGS),Centre-Val de Loire,région,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Raphaëlle SIMEONI,Mme Raphaëlle SIMEONI,Mme,Raphaëlle,SIMEONI,F,,Directrice générale des services (DGS),Provence-Alpes-Côte d'Azur,région,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Jean-Baptiste CALENDINI,M. Jean-Baptiste CALENDINI,M.,Jean-Baptiste,CALENDINI,M,,Directeur général des services,Corse,région,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
