__id,Nom de l'élu,Prénom de l'élu,Code sexe,Date de naissance,Code de la catégorie socio-professionnelle,Libellé de la catégorie socio-professionnelle,Date de début du mandat,source_url
67,SAEIDI,Arash,M,1975-05-25,23,Chef d'entreprise de 10 salariés ou plus,2024-07-16,https://www.data.gouv.fr/api/1/datasets/repertoire-national-des-elus-1/
68,SANCHEZ,Julien,M,1983-10-19,33,Cadre de la fonction publique,2024-07-16,https://www.data.gouv.fr/api/1/datasets/repertoire-national-des-elus-1/
69,SARGIACOMO,Eric,M,1969-10-31,33,Cadre de la fonction publique,2024-07-16,https://www.data.gouv.fr/api/1/datasets/repertoire-national-des-elus-1/
70,SATOURI,Mounir,M,1975-05-25,33,Cadre de la fonction publique,2024-07-16,https://www.data.gouv.fr/api/1/datasets/repertoire-national-des-elus-1/
71,SBAI,Majdouline,F,1977-10-09,34,"Professeur, profession scientifique",2024-07-16,https://www.data.gouv.fr/api/1/datasets/repertoire-national-des-elus-1/
72,SMITH,Anthony,M,1975-03-04,33,Cadre de la fonction publique,2024-07-16,https://www.data.gouv.fr/api/1/datasets/repertoire-national-des-elus-1/
73,SOREL,Malika,F,1962-07-08,35,"Profession de l'information, des arts et des spectacles",2024-07-16,https://www.data.gouv.fr/api/1/datasets/repertoire-national-des-elus-1/
74,THIONNET,Pierre-Romain,M,1994-01-19,33,Cadre de la fonction publique,2024-07-16,https://www.data.gouv.fr/api/1/datasets/repertoire-national-des-elus-1/
75,TOLASSY,Rody,M,1987-09-21,31,Profession libérale,2024-07-16,https://www.data.gouv.fr/api/1/datasets/repertoire-national-des-elus-1/
76,TOUSSAINT,Marie,F,1987-05-27,37,Cadre administratif et commercial d'entreprise,2024-07-16,https://www.data.gouv.fr/api/1/datasets/repertoire-national-des-elus-1/
77,TROCHU,Laurence,F,1973-04-07,85,Personne diverse sans activité professionnelle de moins de 60 ans (sauf retraité),2024-07-16,https://www.data.gouv.fr/api/1/datasets/repertoire-national-des-elus-1/
78,VALET,Matthieu,M,1986-04-01,53,Policier et militaire,2024-07-16,https://www.data.gouv.fr/api/1/datasets/repertoire-national-des-elus-1/
79,VARAUT,Alexandre,M,1966-01-18,31,Profession libérale,2024-07-16,https://www.data.gouv.fr/api/1/datasets/repertoire-national-des-elus-1/
80,WERBROUCK,Séverine,F,1970-10-31,22,Commerçant et assimilé,2024-09-28,https://www.data.gouv.fr/api/1/datasets/repertoire-national-des-elus-1/
81,YON-COURTIN,Stéphanie,F,1974-03-28,31,Profession libérale,2024-07-16,https://www.data.gouv.fr/api/1/datasets/repertoire-national-des-elus-1/
