personne_raw_text,personne_nom_complet,personne_civilite,personne_prenom,personne_nom,personne_genre,groupe_politique_libelle,poste_libelle,zone_geographique_libelle,zone_geographique_type
Mme Marine Le Pen,Mme Marine Le Pen,Mme,Marine,Le Pen,F,Rassemblement National,Rassemblement National,Hauts-de-France - Pas-de-Calais (62) - 11,circonscription
M. Laurent Wauquiez,M. Laurent Wauquiez,M.,Laurent,Wauquiez,M,Droite Républicaine,Droite Républicaine,Auvergne-Rhône-Alpes - Haute-Loire (43) - 01,circonscription
M. Éric Ciotti,M. Éric Ciotti,M.,Éric,Ciotti,M,Union des droites pour la République,Union des droites pour la République,Provence-Alpes-Côte d'Azur - Alpes-Maritimes (06) - 01,circonscription
M. Paul Christophe,M. Paul Christophe,M.,Paul,Christophe,M,Horizons & Indépendants,Horizons & Indépendants,Hauts-de-France - Nord (59) - 14,circonscription
M. Stéphane Peu,M. Stéphane Peu,M.,Stéphane,Peu,M,Gauche Démocrate et Républicaine,Gauche Démocrate et Républicaine,Ile-de-France - Seine-Saint-Denis (93) - 02,circonscription
M. Gabriel Attal,M. Gabriel Attal,M.,Gabriel,Attal,M,Ensemble pour la République,Ensemble pour la République,Ile-de-France - Hauts-de-Seine (92) - 10,circonscription
M. Boris Vallaud,M. Boris Vallaud,M.,Boris,Vallaud,M,Socialistes et apparentés,Socialistes et apparentés,Nouvelle-Aquitaine - Landes (40) - 03,circonscription
M. Christophe Naegelen,M. Christophe Naegelen,M.,Christophe,Naegelen,M,"Libertés, Indépendants, Outre-mer et Territoires","Libertés, Indépendants, Outre-mer et Territoires",Grand Est - Vosges (88) - 03,circonscription
Mme Mathilde Panot,Mme Mathilde Panot,Mme,Mathilde,Panot,F,La France insoumise - Nouveau Front Populaire,La France insoumise - Nouveau Front Populaire,Ile-de-France - Val-de-Marne (94) - 10,circonscription
M. Marc Fesneau,M. Marc Fesneau,M.,Marc,Fesneau,M,Les Démocrates,Les Démocrates,Centre-Val de Loire - Loir-et-Cher (41) - 01,circonscription
Mme Cyrielle Chatelain,Mme Cyrielle Chatelain,Mme,Cyrielle,Chatelain,F,Écologiste et Social,Écologiste et Social,Auvergne-Rhône-Alpes - Isère (38) - 02,circonscription
