personne_raw_text,personne_nom_complet,personne_civilite,personne_prenom,personne_nom,personne_genre,groupe_politique_libelle,poste_libelle,zone_geographique_libelle,zone_geographique_type,source_url
Mme Amélie DE MONTCHALIN,Mme Amélie DE MONTCHALIN,Mme,Amélie,DE MONTCHALIN,F,,Première présidente,Cour des comptes,haute juridiction,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Christophe SOULARD,M. Christophe SOULARD,M.,Christophe,SOULARD,M,,Premier président,Cour de cassation,haute juridiction,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Didier-Roland TABUTEAU,M. Didier-Roland TABUTEAU,M.,Didier-Roland,TABUTEAU,M,,Vice-président,Conseil d'État,haute juridiction,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Richard FERRAND,M. Richard FERRAND,M.,Richard,FERRAND,M,,Président,Conseil constitutionnel,haute juridiction,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Dominique PAUTHE,M. Dominique PAUTHE,M.,Dominique,PAUTHE,M,,Président,Cour de justice de la République,haute juridiction,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
