personne_raw_text,personne_nom_complet,personne_civilite,personne_prenom,personne_nom,personne_genre,groupe_politique_libelle,poste_libelle,zone_geographique_libelle,zone_geographique_type,source_url
M. Sébastien LECORNU,M. Sébastien LECORNU,M.,Sébastien,LECORNU,M,,Premier ministre,Premier ministre,gouvernement,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Catherine VAUTRIN,Mme Catherine VAUTRIN,Mme,Catherine,VAUTRIN,F,,Ministre,Ministère des Armées et des Anciens combattants,gouvernement,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Gérald DARMANIN,M. Gérald DARMANIN,M.,Gérald,DARMANIN,M,,"Garde des Sceaux, ministre",Ministère de la Justice,gouvernement,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Roland LESCURE,M. Roland LESCURE,M.,Roland,LESCURE,M,,Ministre,"Ministère de l’Économie, des Finances et de la Souveraineté industrielle, énergétique et numérique",gouvernement,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Laurent NUÑEZ,M. Laurent NUÑEZ,M.,Laurent,NUÑEZ,M,,Ministre,Ministère de l'Intérieur,gouvernement,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Jean-Noël BARROT,M. Jean-Noël BARROT,M.,Jean-Noël,BARROT,M,,Ministre,Ministère de l'Europe et des Affaires étrangères,gouvernement,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
