personne_raw_text,personne_nom_complet,personne_civilite,personne_prenom,personne_nom,personne_genre,groupe_politique_libelle,poste_libelle,zone_geographique_libelle,zone_geographique_type,source_url
M. Matthieu PEYRAUD,M. Matthieu PEYRAUD,M.,Matthieu,PEYRAUD,M,,Ambassadeur,Autriche,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Olivier COURTEAUD,M. Olivier COURTEAUD,M.,Olivier,COURTEAUD,M,,Ambassadeur,Géorgie,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Frédéric JOURNES,M. Frédéric JOURNES,M.,Frédéric,JOURNES,M,,Ambassadeur,Israël,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Laurence BEAU,Mme Laurence BEAU,Mme,Laurence,BEAU,F,,Ambassadrice,Nouvelle-Zélande,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Luc HALLADE,M. Luc HALLADE,M.,Luc,HALLADE,M,,Ambassadeur,Burkina Faso,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Olivier GAUVIN,M. Olivier GAUVIN,M.,Olivier,GAUVIN,M,,Ambassadeur,Koweït,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Nicolas GALEY,M. Nicolas GALEY,M.,Nicolas,GALEY,M,,Ambassadeur,Pakistan,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Fabien PENONE,M. Fabien PENONE,M.,Fabien,PENONE,M,,Ambassadeur,Indonésie,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. François DELATTRE,M. François DELATTRE,M.,François,DELATTRE,M,,Ambassadeur,Allemagne,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Kareen RISPAL,Mme Kareen RISPAL,Mme,Kareen,RISPAL,F,,Ambassadeur,Espagne,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Eric GERARD,M. Eric GERARD,M.,Eric,GERARD,M,,Ambassadeur,Tchad,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Philippe LETRILLIART,M. Philippe LETRILLIART,M.,Philippe,LETRILLIART,M,,Ambassadeur,Équateur,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Anne-Sophie AVÉ,Mme Anne-Sophie AVÉ,Mme,Anne-Sophie,AVÉ,F,,Ambassadrice,Tanzanie,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Jean-Claude POIMBOEUF,M. Jean-Claude POIMBOEUF,M.,Jean-Claude,POIMBOEUF,M,,Ambassadeur,Thaïlande,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Aude DE AMORIM,Mme Aude DE AMORIM,Mme,Aude,DE AMORIM,F,,Ambassadrice,Panama,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Nicolas DE RIVIERE,M. Nicolas DE RIVIERE,M.,Nicolas,DE RIVIERE,M,,Ambassadeur,Russie,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. François ALABRUNE,M. François ALABRUNE,M.,François,ALABRUNE,M,,Ambassadeur,Pays-Bas,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Philippe BERTOUX,M. Philippe BERTOUX,M.,Philippe,BERTOUX,M,,Ambassadeur,"Corée, République de",pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Lucie STEPANYAN,Mme Lucie STEPANYAN,Mme,Lucie,STEPANYAN,F,,Ambassadrice,Lituanie,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Thierry MATHOU,M. Thierry MATHOU,M.,Thierry,MATHOU,M,,Ambassadeur,Inde,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Laurent POLONCEAUX,M. Laurent POLONCEAUX,M.,Laurent,POLONCEAUX,M,,Ambassadeur,Guinée Equatoriale,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Emmanuel PINEDA,M. Emmanuel PINEDA,M.,Emmanuel,PINEDA,M,,Ambassadeur,Venezuela,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Céline PLACE,Mme Céline PLACE,Mme,Céline,PLACE,F,,Ambassadrice,Irlande,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Eve LUBIN,Mme Eve LUBIN,Mme,Eve,LUBIN,F,,Ambassadrice,Brunei,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Jérôme CAUCHARD,M. Jérôme CAUCHARD,M.,Jérôme,CAUCHARD,M,,Ambassadeur,Érythrée,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Emmanuel LENAIN,M. Emmanuel LENAIN,M.,Emmanuel,LENAIN,M,,Ambassadeur,Brésil,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Nicolas FAYE,M. Nicolas FAYE,M.,Nicolas,FAYE,M,,Ambassadeur,Kirghizstan,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Marie DUMOULIN,Mme Marie DUMOULIN,Mme,Marie,DUMOULIN,F,,Ambassadrice,Bulgarie,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Delphine BORIONE,Mme Delphine BORIONE,Mme,Delphine,BORIONE,F,,Ambassadrice,Mexique,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Virginie CORTEVAL,Mme Virginie CORTEVAL,Mme,Virginie,CORTEVAL,F,,Ambassadrice,Népal,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Pierre FOURNIER,M. Pierre FOURNIER,M.,Pierre,FOURNIER,M,,Ambassadeur,Papouasie-Nouvelle Guinée,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Cédric PRIETO,M. Cédric PRIETO,M.,Cédric,PRIETO,M,,Ambassadeur,Honduras,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Romain NADAL,M. Romain NADAL,M.,Romain,NADAL,M,,Ambassadeur,Argentine,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Frédéric CLAVIER,M. Frédéric CLAVIER,M.,Frédéric,CLAVIER,M,,Ambassadeur,Guatemala,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Florence CORMON-VEYSSIÈRE,Mme Florence CORMON-VEYSSIÈRE,Mme,Florence,CORMON-VEYSSIÈRE,F,,Représentant permanent,Canada,organisation internationale,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Véronique ROGER-LACAN,Mme Véronique ROGER-LACAN,Mme,Véronique,ROGER-LACAN,F,,Représentante permanente,France,organisation internationale,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Fatène BENHABYLÈS-FOETH,Mme Fatène BENHABYLÈS-FOETH,Mme,Fatène,BENHABYLÈS-FOETH,F,,Représentante permanente,Autriche,organisation internationale,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Cyrille PIERRE,M. Cyrille PIERRE,M.,Cyrille,PIERRE,M,,Représentant permanent,France,organisation internationale,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Céline JURGENSEN,Mme Céline JURGENSEN,Mme,Céline,JURGENSEN,F,,Représentante permanente,Autriche,organisation internationale,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Anne LAZAR-SURY,Mme Anne LAZAR-SURY,Mme,Anne,LAZAR-SURY,F,,Représentante permanente,Suisse,organisation internationale,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Pap NDIAYE,M. Pap NDIAYE,M.,Pap,NDIAYE,M,,Représentant permanent,France,organisation internationale,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Tanguy STEHELIN,M. Tanguy STEHELIN,M.,Tanguy,STEHELIN,M,,Représentant permanent,Italie,organisation internationale,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Céline JURGENSEN,Mme Céline JURGENSEN,Mme,Céline,JURGENSEN,F,,Représentante permanente,Suisse,organisation internationale,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Thierry VALLAT,M. Thierry VALLAT,M.,Thierry,VALLAT,M,,Ambassadeur,Algérie,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Béatrice LE FRAPER DU HELLEN,Mme Béatrice LE FRAPER DU HELLEN,Mme,Béatrice,DU HELLEN,F,,Ambassadrice,Japon,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Aurélie ROYET-GOUNIN,Mme Aurélie ROYET-GOUNIN,Mme,Aurélie,ROYET-GOUNIN,F,,Ambassadrice,Rwanda,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Christophe LE RIGOLEUR,M. Christophe LE RIGOLEUR,M.,Christophe,LE RIGOLEUR,M,,Ambassadeur,Macédoine,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Virginie BIOTEAU,Mme Virginie BIOTEAU,Mme,Virginie,BIOTEAU,F,,Ambassadrice,Uruguay,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Alexis LAMEK,M. Alexis LAMEK,M.,Alexis,LAMEK,M,,Ambassadeur,Éthiopie,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Raphaël TRANNOY,M. Raphaël TRANNOY,M.,Raphaël,TRANNOY,M,,Ambassadeur,Cuba,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Olivier PLANÇON,M. Olivier PLANÇON,M.,Olivier,PLANÇON,M,,Ambassadeur,Suriname,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Sylvain ITTÉ,M. Sylvain ITTÉ,M.,Sylvain,ITTÉ,M,,Ambassadeur,Colombie,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Sylvain GUIAUGUE,M. Sylvain GUIAUGUE,M.,Sylvain,GUIAUGUE,M,,Ambassadeur,Kazakhstan,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Etienne CHAPON,M. Etienne CHAPON,M.,Etienne,CHAPON,M,,Ambassadeur,Comores,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Diarra DIME LABILLE,Mme Diarra DIME LABILLE,Mme,Diarra,LABILLE,F,,Ambassadrice,Ghana,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Olivier RICHARD,M. Olivier RICHARD,M.,Olivier,RICHARD,M,,Ambassadeur,Cambodge,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Manuel LAFONT-RAPNOUIL,M. Manuel LAFONT-RAPNOUIL,M.,Manuel,LAFONT-RAPNOUIL,M,,Ambassadeur,Lettonie,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Pierre-Christian SOCCOJA,M. Pierre-Christian SOCCOJA,M.,Pierre-Christian,SOCCOJA,M,,Ambassadeur,Paraguay,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Marie-Noëlle DURIS,Mme Marie-Noëlle DURIS,Mme,Marie-Noëlle,DURIS,F,,Ambassadrice,Sainte-Lucie,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Isabelle LE GUELLEC,Mme Isabelle LE GUELLEC,Mme,Isabelle,LE GUELLEC,F,,Ambassadrice,Libéria,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Arnaud GUILLOIS,M. Arnaud GUILLOIS,M.,Arnaud,GUILLOIS,M,,Ambassadeur,Madagascar,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
