personne_raw_text,personne_nom_complet,personne_civilite,personne_prenom,personne_nom,personne_genre,groupe_politique_libelle,poste_libelle,zone_geographique_libelle,zone_geographique_type,source_url
M. Patrick MAISONNAVE,M. Patrick MAISONNAVE,M.,Patrick,MAISONNAVE,M,,Ambassadeur,Arabie Saoudite,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Clélia CHEVRIER KOLACKO,Mme Clélia CHEVRIER KOLACKO,Mme,Clélia,KOLACKO,F,,Ambassadrice,Chypre,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Olivier GUEROT,M. Olivier GUEROT,M.,Olivier,GUEROT,M,,Ambassadeur,Kosovo,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Laurent STEFANINI-PARRY,M. Laurent STEFANINI-PARRY,M.,Laurent,STEFANINI-PARRY,M,,Ambassadeur,Monaco,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Sylvain RIQUIER,M. Sylvain RIQUIER,M.,Sylvain,RIQUIER,M,,Ambassadeur,Cameroun,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Sandrine LELONG-MOTTA,Mme Sandrine LELONG-MOTTA,Mme,Sandrine,LELONG-MOTTA,F,,Ambassadrice,Malte,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Sonia BARBRY,Mme Sonia BARBRY,Mme,Sonia,BARBRY,F,,Ambassadrice,République dominicaine,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. David IZZO,M. David IZZO,M.,David,IZZO,M,,Ambassadeur,Costa Rica,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Xavier LAPEYRE DE CABANES,M. Xavier LAPEYRE DE CABANES,M.,Xavier,DE CABANES,M,,Ambassadeur,Belgique,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Olivier DECOTTIGNIES,M. Olivier DECOTTIGNIES,M.,Olivier,DECOTTIGNIES,M,,Ambassadeur,Arménie,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Cyrille ROGEAU,M. Cyrille ROGEAU,M.,Cyrille,ROGEAU,M,,Ambassadeur,Chili,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. David MARTINON,M. David MARTINON,M.,David,MARTINON,M,,Ambassadeur,Afrique du Sud,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Catherine SUARD,Mme Catherine SUARD,Mme,Catherine,SUARD,F,,Ambassadrice,Albanie,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Jonathan LACOTE,M. Jonathan LACOTE,M.,Jonathan,LACOTE,M,,Ambassadeur,Hongrie,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Guillaume PIERRE,M. Guillaume PIERRE,M.,Guillaume,PIERRE,M,,Ambassadeur,Trinité-et-Tobago,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Stephen MARCHISIO,M. Stephen MARCHISIO,M.,Stephen,MARCHISIO,M,,Ambassadeur,Singapour,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Hélène TRÉHEUX-DUCHÊNE,Mme Hélène TRÉHEUX-DUCHÊNE,Mme,Hélène,TRÉHEUX-DUCHÊNE,F,,Ambassadrice,Royaume-Uni,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Christine TOUDIC,Mme Christine TOUDIC,Mme,Christine,TOUDIC,F,,Ambassadrice,Bosnie-Herzégovine,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Christophe LECOURTIER,M. Christophe LECOURTIER,M.,Christophe,LECOURTIER,M,,Ambassadeur,Maroc,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Luc BRIARD,M. Luc BRIARD,M.,Luc,BRIARD,M,,Ambassadeur,Guinée,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Fabienne RUNYO,Mme Fabienne RUNYO,Mme,Fabienne,RUNYO,F,,Ambassadrice,Slovénie,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Marc FONBAUSTIER,M. Marc FONBAUSTIER,M.,Marc,FONBAUSTIER,M,,Ambassadeur,Nigéria,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Thomas ROSSIGNOL,M. Thomas ROSSIGNOL,M.,Thomas,ROSSIGNOL,M,,Ambassadeur,Zambie,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Jérôme BRESSON,M. Jérôme BRESSON,M.,Jérôme,BRESSON,M,,Ambassadeur,Djibouti,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Sophie AUBERT,Mme Sophie AUBERT,Mme,Sophie,AUBERT,F,,Ambassadrice,Angola,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Philippe MICHEL-KLEISBAUER,M. Philippe MICHEL-KLEISBAUER,M.,Philippe,MICHEL-KLEISBAUER,M,,Ambassadeur,Soudan du Sud,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Florence ROBINE,Mme Florence ROBINE,Mme,Florence,ROBINE,F,,Ambassadrice,Norvège,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Raja RABIA,Mme Raja RABIA,Mme,Raja,RABIA,F,,Ambassadrice,Finlande,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Anne-Marie MASKAY,Mme Anne-Marie MASKAY,Mme,Anne-Marie,MASKAY,F,,Ambassadrice,Monténégro,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Patrick DUREL,M. Patrick DUREL,M.,Patrick,DUREL,M,,Ambassadeur,Iraq,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Jean D'HAUSSONVILLE,M. Jean D'HAUSSONVILLE,M.,Jean,D'HAUSSONVILLE,M,,Ambassadeur,Monaco,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Nicolas EYBALIN,M. Nicolas EYBALIN,M.,Nicolas,EYBALIN,M,,Ambassadeur,Andorre,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Pierre COCHARD,M. Pierre COCHARD,M.,Pierre,COCHARD,M,,Ambassadeur,Iran,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Christophe BOUCHARD,M. Christophe BOUCHARD,M.,Christophe,BOUCHARD,M,,Ambassadeur,Luxembourg,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Guillaume BAZARD,M. Guillaume BAZARD,M.,Guillaume,BAZARD,M,,Ambassadeur,Islande,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Elsa PIGNOL,Mme Elsa PIGNOL,Mme,Elsa,PIGNOL,F,,Ambassadrice,Tadjikistan,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Hervé MAGRO,M. Hervé MAGRO,M.,Hervé,MAGRO,M,,Ambassadeur,Liban,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Jean-Baptiste JEANGÈNE-VILMER,M. Jean-Baptiste JEANGÈNE-VILMER,M.,Jean-Baptiste,JEANGÈNE-VILMER,M,,Ambassadeur,Vanuatu,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Marie FONTANEL,Mme Marie FONTANEL,Mme,Marie,FONTANEL,F,,Ambassadrice,Philippines,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Christine FAGES,Mme Christine FAGES,Mme,Christine,FAGES,F,,Ambassadrice,Sénégal,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Nabil HAJLAOUI,M. Nabil HAJLAOUI,M.,Nabil,HAJLAOUI,M,,Ambassadeur,Oman,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Étienne DE MONTAIGNE DE PONCINS,M. Étienne DE MONTAIGNE DE PONCINS,M.,Étienne,DE PONCINS,M,,Ambassadeur,Pologne,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Olivier BROCHET,M. Olivier BROCHET,M.,Olivier,BROCHET,M,,Ambassadeur,Vietnam,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Laurent BURIN DES ROZIERS,M. Laurent BURIN DES ROZIERS,M.,Laurent,DES ROZIERS,M,,Ambassadeur,Cuba,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Frédéric BONTEMS,M. Frédéric BONTEMS,M.,Frédéric,BONTEMS,M,,Ambassadeur,Maurice,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Emmanuel PINEDA,M. Emmanuel PINEDA,M.,Emmanuel,PINEDA,M,,Ambassadeur,Venezuela,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Bruno FOUCHER,M. Bruno FOUCHER,M.,Bruno,FOUCHER,M,,Ambassadeur,République centrafricaine,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Fabrice MAURIES,M. Fabrice MAURIES,M.,Fabrice,MAURIES,M,,Ambassadeur,Gabon,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Stéphane CROUZAT,M. Stéphane CROUZAT,M.,Stéphane,CROUZAT,M,,Ambassadeur,République tchèque,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Virginie LEROY,Mme Virginie LEROY,Mme,Virginie,LEROY,F,,Ambassadeur,Ouganda,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Jean-Marc SERE-CHARLET,M. Jean-Marc SERE-CHARLET,M.,Jean-Marc,SERE-CHARLET,M,,Ambassadeur,Bangladesh,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Bénédicte DESCHAMPS,Mme Bénédicte DESCHAMPS,Mme,Bénédicte,DESCHAMPS,F,,Ambassadrice,Laos,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Yann PRADEAU,M. Yann PRADEAU,M.,Yann,PRADEAU,M,,Ambassadeur,Mozambique,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Arnaud SUQUET,M. Arnaud SUQUET,M.,Arnaud,SUQUET,M,,Ambassadeur,Kenya,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Nicolas WARNERY,M. Nicolas WARNERY,M.,Nicolas,WARNERY,M,,Ambassadeur,Roumanie,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Nicolas SURAN,M. Nicolas SURAN,M.,Nicolas,SURAN,M,,Ambassadeur,Slovaquie,pays,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
