personne_raw_text,personne_nom_complet,personne_civilite,personne_prenom,personne_nom,personne_genre,groupe_politique_libelle,poste_libelle,zone_geographique_libelle,zone_geographique_type
M. Éric Coquerel,M. Éric Coquerel,M.,Éric,Coquerel,M,La France insoumise - Nouveau Front Populaire,"Commission des finances, de l'économie générale et du contrôle budgétaire",Ile-de-France - Seine-Saint-Denis (93) - 01,circonscription
M. Stéphane Travert,M. Stéphane Travert,M.,Stéphane,Travert,M,Ensemble pour la République,Commission des affaires économiques,Normandie - Manche (50) - 03,circonscription
M. Jean-Michel Jacques,M. Jean-Michel Jacques,M.,Jean-Michel,Jacques,M,Ensemble pour la République,Commission de la défense nationale et des forces armées,Bretagne - Morbihan (56) - 06,circonscription
M. Bruno Fuchs,M. Bruno Fuchs,M.,Bruno,Fuchs,M,Les Démocrates,Commission des affaires étrangères,Grand Est - Haut-Rhin (68) - 06,circonscription
M. Alexandre Portier,M. Alexandre Portier,M.,Alexandre,Portier,M,Droite Républicaine,Commission des affaires culturelles et de l'éducation,Auvergne-Rhône-Alpes - Rhône (69) - 09,circonscription
Mme Sandrine Le Feur,Mme Sandrine Le Feur,Mme,Sandrine,Le Feur,F,Ensemble pour la République,Commission du développement durable et de l'aménagement du territoire,Bretagne - Finistère (29) - 04,circonscription
M. Florent Boudié,M. Florent Boudié,M.,Florent,Boudié,M,Ensemble pour la République,"Commission des lois constitutionnelles, de la législation et de l'administration générale de la République",Nouvelle-Aquitaine - Gironde (33) - 10,circonscription
M. Frédéric Valletoux,M. Frédéric Valletoux,M.,Frédéric,Valletoux,M,Horizons & Indépendants,Commission des affaires sociales,Ile-de-France - Seine-et-Marne (77) - 02,circonscription
