personne_raw_text,personne_nom_complet,personne_civilite,personne_prenom,personne_nom,personne_genre,groupe_politique_libelle,poste_libelle,zone_geographique_libelle,zone_geographique_type
Mme Maryse Carrère,Mme Maryse Carrère,Mme,Maryse,Carrère,F,,Groupe du RDSE,,
Mme Cécile Cukierman,Mme Cécile Cukierman,Mme,Cécile,Cukierman,F,,Groupe CRCE - Kanaky,,
M. Mathieu Darnaud,M. Mathieu Darnaud,M.,Mathieu,Darnaud,M,,Groupe Les Républicains,,
M. Guillaume Gontard,M. Guillaume Gontard,M.,Guillaume,Gontard,M,,Groupe Écologiste - Solidarité et Territoires,,
M. Patrick Kanner,M. Patrick Kanner,M.,Patrick,Kanner,M,,"Groupe Socialiste, Écologiste et Républicain",,
M. Claude Malhuret,M. Claude Malhuret,M.,Claude,Malhuret,M,,Groupe Les Indépendants - République et Territoires,,
M. Hervé Marseille,M. Hervé Marseille,M.,Hervé,Marseille,M,,Groupe Union Centriste,,
M. François Patriat,M. François Patriat,M.,François,Patriat,M,,"Groupe Rassemblement des démocrates, progressistes et indépendants",,
M. Christopher Szczurek,M. Christopher Szczurek,M.,Christopher,Szczurek,M,,Réunion administrative des non-inscrits,,
