personne_raw_text,personne_nom_complet,personne_civilite,personne_prenom,personne_nom,personne_genre,groupe_politique_libelle,poste_libelle,zone_geographique_libelle,zone_geographique_type,source_url
Mme Aurore VITOU,Mme Aurore VITOU,Mme,Aurore,VITOU,F,,Directrice du cabinet,Cabinet du ministre du Travail et des Solidarités,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Pauline PANNIER,Mme Pauline PANNIER,Mme,Pauline,PANNIER,F,,Directrice du cabinet,"Cabinet du ministre de l’Enseignement supérieur, de la Recherche, et de l'Espace",,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Paul BÉRARD,M. Paul BÉRARD,M.,Paul,BÉRARD,M,,Directeur de cabinet,Cabinet du ministre de l'Action et des Comptes publics,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Virginie LASSERRE,Mme Virginie LASSERRE,Mme,Virginie,LASSERRE,F,,Directrice du cabinet,"Cabinet de la ministre de la Transition écologique, de la Biodiversité et des Négociations internationales sur le Climat et la Nature",,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Luc ALLAIRE,M. Luc ALLAIRE,M.,Luc,ALLAIRE,M,,Directrice de cabinet,Cabinet de la ministre de la Culture,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Aurélien LECHEVALLIER,M. Aurélien LECHEVALLIER,M.,Aurélien,LECHEVALLIER,M,,Directeur du cabinet,Cabinet du ministre de l'Europe et des Affaires étrangères,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Franck DUPARC,M. Franck DUPARC,M.,Franck,DUPARC,M,,Directeur du cabinet,Cabinet du ministre de la Ville et du Logement,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Magali CHARBONNEAU,Mme Magali CHARBONNEAU,Mme,Magali,CHARBONNEAU,F,,Directrice du cabinet,Cabinet du ministre de l'Intérieur,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Cécile DINDAR,Mme Cécile DINDAR,Mme,Cécile,DINDAR,F,,Directrice du cabinet,Cabinet de la ministre de l'Aménagement du Territoire et de la Décentralisation,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Thomas LEROUX,M. Thomas LEROUX,M.,Thomas,LEROUX,M,,Directeur du cabinet,Cabinet du ministre de l'Éducation nationale,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Laurent PREVOST,M. Laurent PREVOST,M.,Laurent,PREVOST,M,,Directeur du cabinet,Cabinet de la ministre des Outre-mer,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. François VILLEREZ,M. François VILLEREZ,M.,François,VILLEREZ,M,,Directeur du cabinet,"Cabinet du Ministre délégué auprès de la Ministre de la transition écologique, de la biodiversité et des négociations internationales sur le climat et la nature, chargé de la transition écologique",,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Frédéric DE CARMOY,M. Frédéric DE CARMOY,M.,Frédéric,DE CARMOY,M,,Directeur du cabinet,"Cabinet de la Ministre déléguée auprès de la Ministre de la transition écologique, de la biodiversité et des négociations internationales sur le climat et la nature, chargée de la Mer et de la Pêche",,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
