personne_raw_text,personne_nom_complet,personne_civilite,personne_prenom,personne_nom,personne_genre,groupe_politique_libelle,poste_libelle,zone_geographique_libelle,zone_geographique_type,source_url
M. Emmanuel MOULIN,M. Emmanuel MOULIN,M.,Emmanuel,MOULIN,M,,Secrétaire général,,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Vincent GIRAUD,M. Vincent GIRAUD,M.,Vincent,GIRAUD,M,,Chef de l'état-major particulier,,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Georges-François LECLERC,M. Georges-François LECLERC,M.,Georges-François,LECLERC,M,,Directeur du cabinet,,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Emmanuel BONNE,M. Emmanuel BONNE,M.,Emmanuel,BONNE,M,,"Conseiller diplomatique, sherpa G20, sherpa G7",,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Émilie PIETTE,Mme Émilie PIETTE,Mme,Émilie,PIETTE,F,,Secrétaire générale adjointe,,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Constance BENSUSSAN,Mme Constance BENSUSSAN,Mme,Constance,BENSUSSAN,F,,"Conseillère spéciale social, éducation et lutte contre les inégalités",,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Tristan BROMET,M. Tristan BROMET,M.,Tristan,BROMET,M,,Conseiller spécial,,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Yannick DESBOIS,M. Yannick DESBOIS,M.,Yannick,DESBOIS,M,,"Directeur adjoint du cabinet, directeur général des services",,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Bruno ROGER-PETIT,M. Bruno ROGER-PETIT,M.,Bruno,ROGER-PETIT,M,,Conseiller Mémoire,,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Rodrigue FURCY,M. Rodrigue FURCY,M.,Rodrigue,FURCY,M,,Chef du cabinet,,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Sibylle SAMOYAULT,Mme Sibylle SAMOYAULT,Mme,Sibylle,SAMOYAULT,F,,Cheffe du cabinet adjointe,,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Claire CUSSEMANE,Mme Claire CUSSEMANE,Mme,Claire,CUSSEMANE,F,,Cheffe de cabinet adjointe,,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Pierre-Gaël BESSIÈRE,M. Pierre-Gaël BESSIÈRE,M.,Pierre-Gaël,BESSIÈRE,M,,Conseiller,,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Malo TRICCA,M. Malo TRICCA,M.,Malo,TRICCA,M,,Conseiller technique auprès du secrétaire général,,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Sébastien SALVADOR,M. Sébastien SALVADOR,M.,Sébastien,SALVADOR,M,,Commandant militaire,,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Alexis DUTERTRE,M. Alexis DUTERTRE,M.,Alexis,DUTERTRE,M,,Conseiller Europe,,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Jérémie ROBERT,M. Jérémie ROBERT,M.,Jérémie,ROBERT,M,,Conseiller Afrique,,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Anne-Claire LEGENDRE,Mme Anne-Claire LEGENDRE,Mme,Anne-Claire,LEGENDRE,F,,"Conseillère Afrique du Nord, Moyen-Orient",,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Bertrand BUCHWALTER,M. Bertrand BUCHWALTER,M.,Bertrand,BUCHWALTER,M,,Conseiller Europe continentale - Turquie,,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Julie LE SAOS,Mme Julie LE SAOS,Mme,Julie,LE SAOS,F,,"Conseiller Asie, Océanie et Amériques",,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Camille MORFOUACE DE BROUCKER,Mme Camille MORFOUACE DE BROUCKER,Mme,Camille,DE BROUCKER,F,,Conseillère affaires globales,,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Gabrielle ROUSSEAU,Mme Gabrielle ROUSSEAU,Mme,Gabrielle,ROUSSEAU,F,,Conseillère technique Affaires globales,,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Alix MAISONNAVE,Mme Alix MAISONNAVE,Mme,Alix,MAISONNAVE,F,,Conseillère technique Europe,,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Éric PARIDIMAL,M. Éric PARIDIMAL,M.,Éric,PARIDIMAL,M,,Conseiller technique Europe,,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Paul SOLER,M. Paul SOLER,M.,Paul,SOLER,M,,"Conseiller, envoyé spécial pour la Libye",,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Xavier CHATEL DE BRANCION,M. Xavier CHATEL DE BRANCION,M.,Xavier,DE BRANCION,M,,Conseiller chargé des affaires stratégiques et de désarmement,,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Antoine BURTIN,M. Antoine BURTIN,M.,Antoine,BURTIN,M,,Aide de camp (armée de terre),,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Loïc LE PENNEC,M. Loïc LE PENNEC,M.,Loïc,LE PENNEC,M,,Aide de camp (marine),,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Yann DE VAULX,M. Yann DE VAULX,M.,Yann,DE VAULX,M,,Aide de camp (armée de l'air et de l'espace),,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Vincent GIRAUD,M. Vincent GIRAUD,M.,Vincent,GIRAUD,M,,Chef de l'Etat-major,,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Charles DE MONICAULT,M. Charles DE MONICAULT,M.,Charles,DE MONICAULT,M,,Membre (armée de terre),,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Arnaud BOUILLAND,M. Arnaud BOUILLAND,M.,Arnaud,BOUILLAND,M,,Membre (armée de l'air et de l'espace),,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Damien APPRIOU,M. Damien APPRIOU,M.,Damien,APPRIOU,M,,Membre (marine),,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Jean-Christophe PERROCHON,M. Jean-Christophe PERROCHON,M.,Jean-Christophe,PERROCHON,M,,Médecin en chef,,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
