personne_raw_text,personne_nom_complet,personne_civilite,personne_prenom,personne_nom,personne_genre,groupe_politique_libelle,poste_libelle,zone_geographique_libelle,zone_geographique_type,source_url
Mme Claire CHAUFFOUR-ROUILLARD,Mme Claire CHAUFFOUR-ROUILLARD,Mme,Claire,CHAUFFOUR-ROUILLARD,F,,Préfète,Aveyron,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Fabienne DECOTTIGNIES,Mme Fabienne DECOTTIGNIES,Mme,Fabienne,DECOTTIGNIES,F,,Préfète,Nièvre,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Jean-Benoît ALBERTINI,M. Jean-Benoît ALBERTINI,M.,Jean-Benoît,ALBERTINI,M,,Préfet,Seine-Maritime,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Philippe COURT,M. Philippe COURT,M.,Philippe,COURT,M,,Préfet,Val-d'Oise,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Maurice BARATE,M. Maurice BARATE,M.,Maurice,BARATE,M,,Préfet,Haute-Vienne,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Fabienne BUCCIO,Mme Fabienne BUCCIO,Mme,Fabienne,BUCCIO,F,,Préfète,,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Pierre-Édouard COLLIEX,M. Pierre-Édouard COLLIEX,M.,Pierre-Édouard,COLLIEX,M,,Préfet,Jura,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. François-Xavier LAUCH,M. François-Xavier LAUCH,M.,François-Xavier,LAUCH,M,,Préfet,Pas-de-Calais,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Yves SEGUY,M. Yves SEGUY,M.,Yves,SEGUY,M,,Préfet,Meurthe-et-Moselle,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Serge BOULANGER,M. Serge BOULANGER,M.,Serge,BOULANGER,M,,Préfet,Vienne,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Simon BABRE,M. Simon BABRE,M.,Simon,BABRE,M,,Préfet,Var,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Amaury DE SAINT-QUENTIN,M. Amaury DE SAINT-QUENTIN,M.,Amaury,DE SAINT-QUENTIN,M,,Préfet,Bas-Rhin,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Sophie BROCAS,Mme Sophie BROCAS,Mme,Sophie,BROCAS,F,,Préfète,Loiret,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Vincent ROBERTI,M. Vincent ROBERTI,M.,Vincent,ROBERTI,M,,Préfet,Tarn-et-Garonne,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Serge JACOB,M. Serge JACOB,M.,Serge,JACOB,M,,Préfet,Haute-Saône,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Pierre-André DURAND,M. Pierre-André DURAND,M.,Pierre-André,DURAND,M,,Préfet,Haute-Garonne,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Hervé TOURMENTE,M. Hervé TOURMENTE,M.,Hervé,TOURMENTE,M,,Préfet,Orne,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Pascal JAN,M. Pascal JAN,M.,Pascal,JAN,M,,Préfet,Yonne,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Étienne GUYOT,M. Étienne GUYOT,M.,Étienne,GUYOT,M,,Préfet,Gironde,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Alain CHARRIER,M. Alain CHARRIER,M.,Alain,CHARRIER,M,,Préfet,Territoire de Belfort,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Marie AUBERT,Mme Marie AUBERT,Mme,Marie,AUBERT,F,,Préfète,Dordogne,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Éric JALON,M. Éric JALON,M.,Éric,JALON,M,,Préfet,Corse-du-Sud,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Benoît TRÉVISANI,M. Benoît TRÉVISANI,M.,Benoît,TRÉVISANI,M,,Préfet,Ardèche,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Christophe NOEL DU PAYRAT,M. Christophe NOEL DU PAYRAT,M.,Christophe,DU PAYRAT,M,,Préfet,Allier,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Catherine SEGUIN,Mme Catherine SEGUIN,Mme,Catherine,SEGUIN,F,,Préfète,Isère,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Anne FRACKOWIAK-JACOBS,Mme Anne FRACKOWIAK-JACOBS,Mme,Anne,FRACKOWIAK-JACOBS,F,,Préfète,Puy-de-Dôme,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Alain CASTANIER,M. Alain CASTANIER,M.,Alain,CASTANIER,M,,Préfet,Gers,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Pascal COURTADE,M. Pascal COURTADE,M.,Pascal,COURTADE,M,,Préfet,Aube,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Brice BLONDEL,M. Brice BLONDEL,M.,Brice,BLONDEL,M,,Préfet,Charente-Maritime,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Thomas CAMPEAUX,M. Thomas CAMPEAUX,M.,Thomas,CAMPEAUX,M,,Préfet,Indre-et-Loire,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Pierre ORY,M. Pierre ORY,M.,Pierre,ORY,M,,Préfet,Seine-et-Marne,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Philippe LE MOING-SURZUR,M. Philippe LE MOING-SURZUR,M.,Philippe,LE MOING-SURZUR,M,,Préfet,Cher,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Sébastien JALLET,M. Sébastien JALLET,M.,Sébastien,JALLET,M,,Préfet,Sarthe,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Fabrice RIGOULET-ROZE,M. Fabrice RIGOULET-ROZE,M.,Fabrice,RIGOULET-ROZE,M,,Préfet,Loire-Atlantique,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Marc DIDIO,M. Marc DIDIO,M.,Marc,DIDIO,M,,Préfet,,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Chantal MAUCHET,Mme Chantal MAUCHET,Mme,Chantal,MAUCHET,F,,Préfète,Hérault,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Marie-Aimée GASPARI,Mme Marie-Aimée GASPARI,Mme,Marie-Aimée,GASPARI,F,,Préfète,Drôme,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Michel PROSIC,M. Michel PROSIC,M.,Michel,PROSIC,M,,Préfet,Haute-Corse,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Hervé BRABANT,M. Hervé BRABANT,M.,Hervé,BRABANT,M,,Préfet,Ariège,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Jean-Philippe LEGUEULT,M. Jean-Philippe LEGUEULT,M.,Jean-Philippe,LEGUEULT,M,,Préfet,Creuse,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Romain ROYET,M. Romain ROYET,M.,Romain,ROYET,M,,Préfet,Marne,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Rémi BASTILLE,M. Rémi BASTILLE,M.,Rémi,BASTILLE,M,,Préfet,Doubs,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Christian CHASSAING,M. Christian CHASSAING,M.,Christian,CHASSAING,M,,Préfet,Ardennes,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Louis-Xavier THIRODE,M. Louis-Xavier THIRODE,M.,Louis-Xavier,THIRODE,M,,Préfet,Ain,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Julien CHARLES,M. Julien CHARLES,M.,Julien,CHARLES,M,,Préfet,Seine-Saint-Denis,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Stéphane BREDIN,M. Stéphane BREDIN,M.,Stéphane,BREDIN,M,,Préfet,Calvados,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Hervé JONATHAN,M. Hervé JONATHAN,M.,Hervé,JONATHAN,M,,Préfet,Eure-et-Loir,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Isabelle TOMATIS,Mme Isabelle TOMATIS,Mme,Isabelle,TOMATIS,F,,Préfète,Alpes-de-Haute-Provence,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
