personne_raw_text,personne_nom_complet,personne_civilite,personne_prenom,personne_nom,personne_genre,groupe_politique_libelle,poste_libelle,zone_geographique_libelle,zone_geographique_type,source_url
M. Édouard GEFFRAY,M. Édouard GEFFRAY,M.,Édouard,GEFFRAY,M,,Ministre,Ministère de l'Éducation nationale,gouvernement,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Françoise GATEL,Mme Françoise GATEL,Mme,Françoise,GATEL,F,,Ministre,Ministère de l’Aménagement du Territoire et de la Décentralisation,gouvernement,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Laurent NUÑEZ,M. Laurent NUÑEZ,M.,Laurent,NUÑEZ,M,,Ministre,Ministère de l'Intérieur,gouvernement,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Vincent JEANBRUN,M. Vincent JEANBRUN,M.,Vincent,JEANBRUN,M,,Ministre,Ministère de la Ville et du Logement,gouvernement,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Jean-Noël BARROT,M. Jean-Noël BARROT,M.,Jean-Noël,BARROT,M,,Ministre,Ministère de l'Europe et des Affaires étrangères,gouvernement,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Catherine PÉGARD,Mme Catherine PÉGARD,Mme,Catherine,PÉGARD,F,,Ministre,Ministère de la Culture,gouvernement,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Monique BARBUT,Mme Monique BARBUT,Mme,Monique,BARBUT,F,,Ministre,"Ministère de la Transition écologique, de la Biodiversité et des Négociations internationales sur le Climat et la Nature",gouvernement,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. David AMIEL,M. David AMIEL,M.,David,AMIEL,M,,Ministre,Ministère de l'Action et des Comptes publics,gouvernement,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Philippe BAPTISTE,M. Philippe BAPTISTE,M.,Philippe,BAPTISTE,M,,Ministre,"Ministère de l’Enseignement supérieur, de la Recherche et de l'Espace",gouvernement,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Jean-Pierre FARANDOU,M. Jean-Pierre FARANDOU,M.,Jean-Pierre,FARANDOU,M,,Ministre,Ministère du Travail et des Solidarités,gouvernement,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Sabrina ROUBACHE,Mme Sabrina ROUBACHE,Mme,Sabrina,ROUBACHE,F,,Ministre déléguée auprès du ministre du travail et des solidarités,"Ministre déléguée auprès du ministre du travail et des solidarités et du ministre de l'éducation nationale, chargée de l'enseignement et de la formation professionnels et de l'apprentissage",gouvernement,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Catherine CHABAUD,Mme Catherine CHABAUD,Mme,Catherine,CHABAUD,F,,Ministre déléguée,"Ministre déléguée auprés de la Ministre de la transition écologique, de la biodiversité et des négociations internationales sur le climat et la nature, chargée de la Mer et de la Pêche",gouvernement,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Mathieu LEFÈVRE,M. Mathieu LEFÈVRE,M.,Mathieu,LEFÈVRE,M,,Ministre délégué,"Ministre délégué auprès de la Ministre de la transition écologique, de la biodiversité et des négociations internationales sur le climat et la nature, chargé de la transition écologique",gouvernement,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Benjamin HADDAD,M. Benjamin HADDAD,M.,Benjamin,HADDAD,M,,Ministre délégué,"Ministre délégué auprès du ministre de l’Europe et des Affaires étrangères, chargé de l'Europe",gouvernement,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Nicolas FORISSIER,M. Nicolas FORISSIER,M.,Nicolas,FORISSIER,M,,Ministre délégué,"Ministre délégué auprès du ministre de l’Europe et des Affaires étrangères, chargé du commerce extérieur et de l'attractivité",gouvernement,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Eléonore CAROIT,Mme Eléonore CAROIT,Mme,Eléonore,CAROIT,F,,Ministre déléguée,"Ministre déléguée auprès du ministre de l'Europe et des Affaires étrangères, chargée de la francophonie, des partenariats internationaux et des Français de l'étranger",gouvernement,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Jean-Didier BERGER,M. Jean-Didier BERGER,M.,Jean-Didier,BERGER,M,,Ministre délégué,Ministre délégué auprès du ministre de l'Intérieur,gouvernement,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Marie-Pierre VEDRENNE,M. Marie-Pierre VEDRENNE,M.,Marie-Pierre,VEDRENNE,M,,Ministre déléguée,"Ministre déléguée auprès du ministre de l'Intérieur, chargée de la citoyenneté",gouvernement,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Michel FOURNIER,M. Michel FOURNIER,M.,Michel,FOURNIER,M,,Ministre délégué,"Ministre délégué auprès de la ministre de l’Aménagement du territoire et de la Décentralisation, chargé de la ruralité",gouvernement,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Camille GALLIARD-MINIER,Mme Camille GALLIARD-MINIER,Mme,Camille,GALLIARD-MINIER,F,,Ministre déléguée,"Ministre déléguée auprès de la ministre de la Santé, des Familles, de l’Autonomie et des Personnes handicapées, chargée de l'autonomie et des personnes handicapées",gouvernement,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Sébastien MARTIN,M. Sébastien MARTIN,M.,Sébastien,MARTIN,M,,Ministre délégué,"Ministre délégué auprès du ministre de l’Économie, des Finances et de la Souveraineté industrielle, énergétique et numérique, chargé de l’industrie",gouvernement,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Anne LE HÉNANFF,Mme Anne LE HÉNANFF,Mme,Anne,LE HÉNANFF,F,,Ministre déléguée,"Ministre déléguée auprès du ministre de l’Économie, des Finances et de la Souveraineté industrielle, énergétique et numérique, chargée de l'intelligence artificielle et du numérique",gouvernement,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Maud BREGEON,Mme Maud BREGEON,Mme,Maud,BREGEON,F,,Ministre déléguée,"Ministre déléguée auprès du ministre de l’Économie, des Finances et de la Souveraineté industrielle, énergétique et numérique, chargée de l'énergie",gouvernement,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Alice RUFO,Mme Alice RUFO,Mme,Alice,RUFO,F,,Ministre déléguée,"Ministre déléguée auprès de la ministre des Armées et des Anciens combattants, chargée de la mémoire et des anciens combattants",gouvernement,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Laurent PANIFOUS,M. Laurent PANIFOUS,M.,Laurent,PANIFOUS,M,,Ministre délégué,"Ministre délégué auprès du Premier ministre, chargé des relations avec le Parlement",gouvernement,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Aurore BERGÉ,Mme Aurore BERGÉ,Mme,Aurore,BERGÉ,F,,Ministre déléguée,"Ministre déléguée auprès du Premier Ministre, chargée de l'égalité entre les femmes et les hommes et de la lutte contre les discriminations",gouvernement,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
