personne_raw_text,personne_nom_complet,personne_civilite,personne_prenom,personne_nom,personne_genre,groupe_politique_libelle,poste_libelle,zone_geographique_libelle,zone_geographique_type,source_url
M. Sébastien LECORNU,M. Sébastien LECORNU,M.,Sébastien,LECORNU,M,,Premier ministre,Premier ministre,gouvernement,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Catherine VAUTRIN,Mme Catherine VAUTRIN,Mme,Catherine,VAUTRIN,F,,Ministre,Ministère des Armées et des Anciens combattants,gouvernement,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Serge PAPIN,M. Serge PAPIN,M.,Serge,PAPIN,M,,Ministre,"Ministère des petites et moyennes Entreprises, du Commerce, de l'Artisanat, du Tourisme et du Pouvoir d'achat",gouvernement,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Philippe TABAROT,M. Philippe TABAROT,M.,Philippe,TABAROT,M,,Ministre,Ministère des Transports,gouvernement,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Gérald DARMANIN,M. Gérald DARMANIN,M.,Gérald,DARMANIN,M,,"Garde des Sceaux, ministre",Ministère de la Justice,gouvernement,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Roland LESCURE,M. Roland LESCURE,M.,Roland,LESCURE,M,,Ministre,"Ministère de l’Économie, des Finances et de la Souveraineté industrielle, énergétique et numérique",gouvernement,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Stéphanie RIST,Mme Stéphanie RIST,Mme,Stéphanie,RIST,F,,Ministre,"Ministère de la Santé, des Familles, de l’Autonomie et des Personnes handicapées",gouvernement,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Marina FERRARI,Mme Marina FERRARI,Mme,Marina,FERRARI,F,,Ministre,"Ministère des Sports, de la Jeunesse et de la Vie associative",gouvernement,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Annie GENEVARD,Mme Annie GENEVARD,Mme,Annie,GENEVARD,F,,Ministre,"Ministère de l’Agriculture, de l'Agro-alimentaire et de la Souveraineté alimentaire",gouvernement,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Naïma MOUTCHOU,Mme Naïma MOUTCHOU,Mme,Naïma,MOUTCHOU,F,,Ministre,Ministère des Outre-mer,gouvernement,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
