personne_raw_text,personne_nom_complet,personne_civilite,personne_prenom,personne_nom,personne_genre,groupe_politique_libelle,poste_libelle,zone_geographique_libelle,zone_geographique_type,source_url
M. Philippe GUSTIN,M. Philippe GUSTIN,M.,Philippe,GUSTIN,M,,Directeur du cabinet,Cabinet du Premier ministre,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Renaud DUPLAY,M. Renaud DUPLAY,M.,Renaud,DUPLAY,M,,Directeur adjoint du cabinet,Cabinet du Premier ministre,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Paul-Hugo VERDIN,M. Paul-Hugo VERDIN,M.,Paul-Hugo,VERDIN,M,,Chef du cabinet,Cabinet du Premier ministre,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Marianne TESSA,Mme Marianne TESSA,Mme,Marianne,TESSA,F,,Cheffe adjointe du cabinet,Cabinet du Premier ministre,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Jean-Christophe BECHON,M. Jean-Christophe BECHON,M.,Jean-Christophe,BECHON,M,,Chef du cabinet militaire,Cabinet du Premier ministre,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. David CARMIER,M. David CARMIER,M.,David,CARMIER,M,,Conseiller spécial,Cabinet du Premier ministre,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Laurent DOMINATI,M. Laurent DOMINATI,M.,Laurent,DOMINATI,M,,Conseiller auprès du Premier ministre,Cabinet du Premier ministre,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Cléa BLOCH,Mme Cléa BLOCH,Mme,Cléa,BLOCH,F,,Conseillère auprès du directeur du cabinet,Cabinet du Premier ministre,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Adrien FACON,M. Adrien FACON,M.,Adrien,FACON,M,,"Conseiller auprès du directeur de cabinet, chargé de la souveraineté, du numérique et de l'intelligence artificielle",Cabinet du Premier ministre,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Nolwenn CHOUFFOT,Mme Nolwenn CHOUFFOT,Mme,Nolwenn,CHOUFFOT,F,,Chargée de mission auprès du Premier ministre,Cabinet du Premier ministre,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Marguerite CHARBON,Mme Marguerite CHARBON,Mme,Marguerite,CHARBON,F,,Conseillère technique,Cabinet du Premier ministre,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Luc LIOGIER,M. Luc LIOGIER,M.,Luc,LIOGIER,M,,"Conseiller Culture et Médias, chef de pôle",Pôle Culture et médias,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Maxime HÉRAULT,M. Maxime HÉRAULT,M.,Maxime,HÉRAULT,M,,Conseiller technique presse,Pôle Culture et médias,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. François MOREAU,M. François MOREAU,M.,François,MOREAU,M,,"Conseiller parlementaire, chef de pôle",Pôle Parlementaire,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Clément HUGON,M. Clément HUGON,M.,Clément,HUGON,M,,Conseiller parlementaire,Pôle Parlementaire,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Yanis SICRE,M. Yanis SICRE,M.,Yanis,SICRE,M,,Conseiller parlementaire,Pôle Parlementaire,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Chloé JAMBON,Mme Chloé JAMBON,Mme,Chloé,JAMBON,F,,Conseillère parlementaire,Pôle Parlementaire,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Guillaume JOLLET,M. Guillaume JOLLET,M.,Guillaume,JOLLET,M,,Conseiller parlementaire,Pôle Parlementaire,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Agathe MADDALONE,Mme Agathe MADDALONE,Mme,Agathe,MADDALONE,F,,Conseillère technique parlementaire,Pôle Parlementaire,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Laurent LENOBLE,M. Laurent LENOBLE,M.,Laurent,LENOBLE,M,,"Conseiller outre-mer, chef du pôle",Pôle Outre-Mer,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Franck LEON,M. Franck LEON,M.,Franck,LEON,M,,Conseiller Outre-mer,Pôle Outre-Mer,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Romain LEVESQUE,M. Romain LEVESQUE,M.,Romain,LEVESQUE,M,,"Conseiller communication, chef du pôle",Pôle Communication,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Emmanuel PUISAIS-JAUVIN,M. Emmanuel PUISAIS-JAUVIN,M.,Emmanuel,PUISAIS-JAUVIN,M,,"Conseiller affaires européennes, chef du pôle",Pôle Europe,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Claire MONNÉ,Mme Claire MONNÉ,Mme,Claire,MONNÉ,F,,Conseillère Affaires européennes,Pôle Europe,,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
