personne_raw_text,personne_nom_complet,personne_civilite,personne_prenom,personne_nom,personne_genre,groupe_politique_libelle,poste_libelle,zone_geographique_libelle,zone_geographique_type,source_url
Mme Camille DAGORNE,Mme Camille DAGORNE,Mme,Camille,DAGORNE,F,,Directrice de cabinet,Mamoudzou,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Yassine BOUZIANE,M. Yassine BOUZIANE,M.,Yassine,BOUZIANE,M,,Directeur de cabinet,Caen,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Chloé DEMEULENAERE,Mme Chloé DEMEULENAERE,Mme,Chloé,DEMEULENAERE,F,,Directrice de cabinet,Papeete - Tahiti,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Anne-Sophie MARCON,Mme Anne-Sophie MARCON,Mme,Anne-Sophie,MARCON,F,,Directrice de cabinet,Pau,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Ambre BERNARD,Mme Ambre BERNARD,Mme,Ambre,BERNARD,F,,Directrice de cabinet,Montauban,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Emmanuelle PLANTIER-LEMARCHAND,Mme Emmanuelle PLANTIER-LEMARCHAND,Mme,Emmanuelle,PLANTIER-LEMARCHAND,F,,Directrice de cabinet,Annecy,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Marin LASSALLE,M. Marin LASSALLE,M.,Marin,LASSALLE,M,,Directeur de cabinet,Montpellier,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Grégory LECRU,M. Grégory LECRU,M.,Grégory,LECRU,M,,Directeur de cabinet,Bordeaux,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Mariam PONTONI,Mme Mariam PONTONI,Mme,Mariam,PONTONI,F,,Directrice de cabinet,Orléans,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Thomas MONTBABUT,M. Thomas MONTBABUT,M.,Thomas,MONTBABUT,M,,Directeur de cabinet,Châlons-en-Champagne,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
