administration,nom,prenom,civilite,grade,fonction,categorie,type_organisme,code_insee_commune
Secrétariat général pour les affaires régionales (SGAR) - Normandie,RICHARD,Florence,Mme,ingénieure des travaux publics de l'Etat hors classe,Secrétaire générale à la planification écologique,SIL,"Préfecture, sous-préfecture",76540
Secrétariat général pour les affaires régionales (SGAR) - Normandie,HAZANE,Eric,M.,,Délégué à la sécurité numérique,SIL,"Préfecture, sous-préfecture",76540
Rectorat - Académie de Bordeaux,HUART,Jean-Marc,M.,conseiller maître à la Cour des comptes,Recteur d'académie,SIL,Service déconcentré,33063
Rectorat - Académie de Bordeaux,,,,,Secrétaire général,SIL,Service déconcentré,33063
Rectorat - Académie de Bordeaux,,,,,Directeur de cabinet,SIL,Service déconcentré,33063
Rectorat - Académie de Bordeaux,TORRES,Miguel,M.,,Médiateur académique,SIL,Service déconcentré,33063
Rectorat - Académie de Bordeaux,BUISSART,Marc,M.,,Médiateur académique,SIL,Service déconcentré,33063
Rectorat - Académie de Bordeaux,LHÉRÉTÉ,Annie,Mme,,Médiatrice académique,SIL,Service déconcentré,33063
Société d'aménagement foncier et d'établissement rural (Safer) - Pyrénées-Orientales,,,,,Chef du service départemental,SIL,Association d'utilité publique,66136
Service départemental d'incendie et de secours (SDIS) - Pas-de-Calais,RIGAUD,Philippe,M.,contrôleur général,Directeur départemental,SIL,Établissement public,62753
"Service départemental à la jeunesse, à l'engagement et aux sports (SDJES) - Yvelines",HERVET,Rachel,Mme,,Cheffe du service départemental,SIL,Service déconcentré,78297
Service de la coordination des politiques publiques et de l'appui territorial - Ardèche,THIEBAUD,Yvan,M.,,Chef du service,SIL,"Préfecture, sous-préfecture",07186
Direction du cabinet - Jura,BROUET-SAUZADE,Virginie,Mme,attachée principale d'administration de l'Etat,Directrice,SIL,"Préfecture, sous-préfecture",39300
Direction des services départementaux de l'Éducation nationale (DSDEN) - Côtes-d'Armor,FABRE,Frédéric,M.,,Directeur académique des services de l'Éducation nationale,SIL,Service déconcentré,22278
Direction des services départementaux de l'Éducation nationale (DSDEN) - Côtes-d'Armor,NICOLAZIC,Erwan,M.,,Secrétaire général,SIL,Service déconcentré,22278
Direction des services départementaux de l'Éducation nationale (DSDEN) - Côtes-d'Armor,LECOEUR,Valérie,Mme,,"Directrice académique adjointe des services de l'Éducation nationale, inspectrice d'académie",SIL,Service déconcentré,22278
Direction du cabinet - Hautes-Pyrénées,MIEGEVILLE,Sophie,Mme,attachée principale d'administration de l'Etat,Directrice de cabinet,SIL,"Préfecture, sous-préfecture",65440
Direction du cabinet - Hautes-Pyrénées,,,,,Chef du service des sécurités,SIL,"Préfecture, sous-préfecture",65440
Direction du cabinet - Hautes-Pyrénées,,,,,Chef du bureau de la représentation de l'Etat et de la communication interministérielle,SIL,"Préfecture, sous-préfecture",65440
Service de prévention et de santé au travail - Ariège- Verniolle,COUDREAU,Jean-Marc,M.,,Directeur,SIL,Association d'utilité publique,09332
Centre régional des œuvres universitaires et scolaires (Crous) - Lille,PIRA,Guenaël,M.,,Directeur,SIL,Établissement public,59350
"Direction de la réglementation, de la citoyenneté et de l'immigration - Martinique",LOWINSKY,Monique,Mme,,Directrice,SIL,"Préfecture, sous-préfecture",97209
"Direction de la réglementation, de la citoyenneté et de l'immigration - Martinique",AFRICA,David,M.,,Chef du bureau des migrations et de l'intégration,SIL,"Préfecture, sous-préfecture",97209
"Direction de la réglementation, de la citoyenneté et de l'immigration - Martinique",MENCE,Frantze,M.,,"Chef du bureau de la réglementation générale, des élections et de la circulation",SIL,"Préfecture, sous-préfecture",97209
"Direction territoriale de la protection judiciaire de la jeunesse (DTPJJ) - Haute-Garonne, Ariège et Hautes-Pyrénées",LACARRERE,Angeline,Mme,attachée territoriale hors classe,Directrice territoriale,SIL,Service déconcentré,31254
Société d'aménagement foncier et d'établissement rural (Safer) - Lot-et-Garonne,BROYELLE,Anne,Mme,,Cheffe du service départemental,SIL,Association d'utilité publique,47001
Préfecture - Haute-Garonne,RIGOULET-ROZE,Fabrice,M.,administrateur de l'État,Préfet,SIL,"Préfecture, sous-préfecture",31555
"Pôle Mer, Canaux et mobilités",LECUIT-PROUST,Marie,Mme,"ingénieure générale des ponts, des eaux et des forêts",Directrice générale adjointe,SIL,Collectivité locale,35238
"Pôle Mer, Canaux et mobilités",TOUCHAIS,Sandrine,Mme,,"Cheffe de service fonctionnel du pôle mer, canaux, mobilités",SIL,Collectivité locale,35238
"Pôle Mer, Canaux et mobilités",TROCMÉ,Anne-Violaine,Mme,,Directrice de la mer,SIL,Collectivité locale,35238
"Pôle Mer, Canaux et mobilités",GUEGUÉNIAT,Solenn,Mme,,Directrice des ports,SIL,Collectivité locale,35238
"Pôle Mer, Canaux et mobilités",GIRARD,Fabrice,M.,,Directeur des transports et de la mobilité,SIL,Collectivité locale,35238
"Pôle Mer, Canaux et mobilités",DEBRAY,Delphine,Mme,,Directrice déléguée des opérations terrestres,SIL,Collectivité locale,35238
"Pôle Mer, Canaux et mobilités",MOY,David,M.,,Directeur des Canaux de Bretagne,SIL,Collectivité locale,35238
"Pôle Mer, Canaux et mobilités",,,,,Directrice déléguée aux aéroports,SIL,Collectivité locale,35238
Conseil régional - Guadeloupe,CHALUS,Ary,M.,,Président,SIL,Collectivité locale,97105
Conseil régional - Guadeloupe,BOUCARD,Jean-Louis,M.,,Directeur général des services (DGS),SIL,Collectivité locale,97105
"Centre de ressources, d'expertise et de performance sportives (Creps) - Dijon",BAVEREL,Florence,Mme,,Présidente,SIL,Établissement public,21231
"Centre de ressources, d'expertise et de performance sportives (Creps) - Dijon",CLAVIER,Jean-Marc,M.,,Directeur,SIL,Établissement public,21231
"Centre de ressources, d'expertise et de performance sportives (Creps) - Dijon",,,,,Directeur adjoint,SIL,Établissement public,21231
Atelier Canopé 92 - Vanves,AUBRUN,Xavier,M.,,Directeur départemental,SIL,Établissement public,92075
Sous-préfecture - Pontarlier,ONIMUS,Nicolas,M.,président de section de chambre régionale des comptes,Sous-préfet,SIL,"Préfecture, sous-préfecture",25462
Sous-préfecture - Pontarlier,DEBRUYCKER,Hervé,M.,,Secrétaire général,SIL,"Préfecture, sous-préfecture",25462
Office national des combattants et victimes de guerre (ONaCVG) - Service départemental - Haute-Savoie,LECUPPRE,Patrick,M.,,Directeur,SIL,Service déconcentré,74010
"Pôle transfert, recherche, enseignement supérieurs, sanitaire et social : objectif réussite",DE LA COSTE,Alix,Mme,,Directrice générale adjointe,SIL,Collectivité locale,93070
"Pôle transfert, recherche, enseignement supérieurs, sanitaire et social : objectif réussite",LADOYE,Catherine,Mme,,Directrice des formations sanitaires et sociales,SIL,Collectivité locale,93070
"Pôle transfert, recherche, enseignement supérieurs, sanitaire et social : objectif réussite",PELADE,Delphine,Mme,,"Directrice de l'innovation, recherche et enseignement supérieur",SIL,Collectivité locale,93070
Délégué départemental à la vie associative (DDVA) - Guadeloupe,LE JEANNIC,Beate,Mme,,Déléguée départementale à la vie associative (DDVA),SIL,Service déconcentré,97105
Service départemental d'incendie et de secours (SDIS) - Allier,SANSA,Philippe,M.,colonel de sapeurs-pompiers hors classe,Directeur départemental,SIL,Établissement public,03321
Secrétariat général de la préfecture - Hérault,MARTIN SAINT LEON,Véronique,Mme,administratrice de l'État,Secrétaire générale,SIL,"Préfecture, sous-préfecture",34172
Secrétariat général de la préfecture - Hérault,,,,,Secrétaire générale adjointe,SIL,"Préfecture, sous-préfecture",34172
Secrétariat général commun départemental - Haute-Saône,PERONI,Lise,Mme,,Directrice,SIL,"Préfecture, sous-préfecture",70550
Chambre régionale d'agriculture -  Bourgogne-Franche-Comté - Site Valparc Valentin,LAVIER,Vincent,M.,,Président,SIL,Service déconcentré,25212
Chambre régionale d'agriculture -  Bourgogne-Franche-Comté - Site Valparc Valentin,,,,,Directeur,SIL,Service déconcentré,25212
Secrétariat général commun départemental - Val-d'Oise,MOUGET,Bruno,M.,attachée d'administration de l'Etat hors classe,Directeur,SIL,"Préfecture, sous-préfecture",95127
Secrétariat général commun départemental - Val-d'Oise,,,,,Directeur adjoint,SIL,"Préfecture, sous-préfecture",95127
Centre national de la recherche scientifique (CNRS) - Délégation Rhône Auvergne,MORINEAU,Florence,Mme,,Déléguée régionale,SIL,Établissement public,69266
Préfecture - Orne,TOURMENTE,Hervé,M.,administrateur de l'État,Préfet,SIL,"Préfecture, sous-préfecture",61001
Bibliothèque départementale - Ardèche,LACONDEMINE,Ophélie,Mme,,Directrice,SIL,Collectivité locale,07186
Atelier Canopé 53 - Laval,CHALLEMEL DU ROZIER,Benoit,M.,,Directeur départemental,SIL,Établissement public,53130
Direction régionale des affaires culturelles (DRAC) - Normandie - Siège de Caen,KNOP,Jean-Michel,M.,administrateur de l'État,Directeur régional,SIL,Service déconcentré,14118
Direction régionale des affaires culturelles (DRAC) - Normandie - Siège de Caen,DESSERVY,Charles,M.,"inspecteur et conseiller hors classe de la création, des enseignements artistiques et de l'action culturelle",Directeur régional adjoint,SIL,Service déconcentré,14118
Délégué départemental à la vie associative (DDVA) - Polynésie Française,,,,,Délégué départemental à la vie associative (DDVA),SIL,Service déconcentré,98735
Direction de l'animation des politiques publiques interministérielles - Territoire de Belfort,,,,,Directeur,SIL,"Préfecture, sous-préfecture",90010
Direction de l'animation des politiques publiques interministérielles - Territoire de Belfort,MATHIOT,Dominique,Mme,,Cheffe du bureau de l'aménagement du territoire,SIL,"Préfecture, sous-préfecture",90010
Direction de l'animation des politiques publiques interministérielles - Territoire de Belfort,SCHLOTTER,Laurence,Mme,,Cheffe du bureau de l'environnement,SIL,"Préfecture, sous-préfecture",90010
Direction de l'animation des politiques publiques interministérielles - Territoire de Belfort,BACCON-GRAFFE,Pauline,Mme,,Cheffe du bureau des affaires économiques et sociale,SIL,"Préfecture, sous-préfecture",90010
Centre régional des œuvres universitaires et scolaires (Crous) - Rouen,CATHERINE,Virginie,Mme,attachée d'administration de l'Etat,Directrice,SIL,Établissement public,76540
Centre régional des œuvres universitaires et scolaires (Crous) - Rouen,POTIÉ,Laurent,M.,,Directeur adjoint,SIL,Établissement public,76540
Pôle stratégie médicale coopération et recherche (CHU) - Poitiers,BAUX,Héloïse,Mme,,Directrice des affaires médicales,SIL,Établissement public,86194
Pôle stratégie médicale coopération et recherche (CHU) - Poitiers,DE LAVALETTE FERGUSSON,Emmanuelle,Mme,,Directrice de la recherche et de l'innovation,SIL,Établissement public,86194
Pôle stratégie médicale coopération et recherche (CHU) - Poitiers,DICHAMP,Isabelle,Mme,,Directrice coopérations - médecine de ville - autorisations d'activités - télémédecine,SIL,Établissement public,86194
Pôle stratégie médicale coopération et recherche (CHU) - Poitiers,COURET,Angèle,Mme,,Directrice médico-sociale,SIL,Établissement public,86194
Médiathèque départementale - Jura,VIDAL,Colin,M.,,Responsable,SIL,Collectivité locale,39300
"Direction régionale de l'environnement, de l'aménagement et du logement (Dréal) Grand Est - Unité départementale Marne",SZYMCZAK,Alain,M.,,Chef de l'unité départementale,SIL,Service déconcentré,51454
Direction  du cabinet - Creuse,LE NORCY,Yann,M.,conseiller d'administration,Directeur du cabinet,SIL,"Préfecture, sous-préfecture",23096
Médiathèque départementale - Aveyron,ROCHER,Olivier,M.,,Responsable,SIL,Collectivité locale,12202
Carif Oref - Bretagne,BIBARD,Magalie,Mme,,Directrice,SIL,Groupement d'intérêt public,35051
Direction de la stratégie (ARS) - Grand Est,CRETIN,Carole,Mme,,Directrice,SIL,Établissement public,54395
Direction de la stratégie (ARS) - Grand Est,THIRION,Dominique,M.,,Directeur adjoint,SIL,Établissement public,54395
Direction de la stratégie (ARS) - Grand Est,THIRION,Dominique,M.,,Chef du département politique régionale de santé,SIL,Établissement public,54395
Direction de la stratégie (ARS) - Grand Est,BAILLARD,Jean-Michel,M.,,Chef du département ressources humaines en santé,SIL,Établissement public,54395
Direction de la stratégie (ARS) - Grand Est,JOUIN,Patrick,M.,,Chef du département mission coopérations transfrontalières,SIL,Établissement public,54395
Délégué départemental à la vie associative (DDVA) - Jura,CAMUSET,Annelise,Mme,,Déléguée départementale à la vie associative,SIL,Service déconcentré,39300
Archives départementales - Manche,AUZEL,Jean-Baptiste,M.,conservateur général du patrimoine,Directeur,SIL,Collectivité locale,50502
Direction des sécurités - Manche,MAERTENS,Anne,Mme,,Directrice des sécurités,SIL,"Préfecture, sous-préfecture",50502
Direction du cabinet - Ain,CHOCHEYRAS,Alice,Mme,administratrice de l'État,Directrice de cabinet,SIL,"Préfecture, sous-préfecture",01053
Préfecture - Yonne,JAN,Pascal,M.,professeur des universités,Préfet,SIL,"Préfecture, sous-préfecture",89024
Archives départementales - Ille-et-Vilaine,LENÈGRE,Florent,M.,,Directeur,SIL,Collectivité locale,35238
Chambre régionale d'agriculture - Normandie,WINDSOR,Sébastien,M.,,Président,SIL,Service déconcentré,14118
Chambre régionale d'agriculture - Normandie,DESCAMPS,François,M.,,Directeur,SIL,Service déconcentré,14118
Centre national de la recherche scientifique (CNRS) - Délégation Île-de-France Gif-sur-Yvette,FORÊT,Benoit,M.,,Délégué régional,SIL,Établissement public,91272
Délégué départemental à la vie associative (DDVA) - Puy-de-Dôme,MOREL,Anne-Laure,Mme,,Déléguée départementale à la vie associative (DDVA),SIL,Service déconcentré,63113
Unité départementale de l'architecture et du patrimoine (UDAP) - Aveyron,GINTRAND,Patrice,M.,,"Chef de service, architecte des bâtiments de France",SIL,Service déconcentré,12202
Direction départementale de la police nationale (DDPN) - Aube,PERRAULT,Franck,M.,commissaire de police,Directeur départemental de la police nationale,SIL,Service déconcentré,10387
Direction des services numériques (CHU) - Grenoble-Alpes,LAVAIRE,Bruno,M.,,Directeur,SIL,Établissement public,38185
Comité inter-entreprises de médecine du travail et de prévention de la Nièvre - Nevers,RAMOS,Antonio,M.,,Directeur,SIL,Association d'utilité publique,58194
Météo-France - Saint-Pierre-et-Miquelon,,,,,Chef du service,SIL,Établissement public,97502
Délégué départemental à la vie associative (DDVA) - Finistère,LE ROUX,Antoine,M.,,Délégué départemental à la vie associative,SIL,Service déconcentré,29232
Archives départementales - Val-d'Oise,PELTIER,Marie-Hélène,Mme,,Directrice,SIL,Collectivité locale,95127
Cerema - Direction territoriale Sud-Ouest,GANDON,Benoit,M.,,Directeur territorial,SIL,Établissement public,33449
Cerema - Direction territoriale Sud-Ouest,LACAZE,Marion,Mme,,Directrice territoriale adjointe,SIL,Établissement public,33449
Secrétariat général commun départemental - Alpes-de-Haute-Provence,MORELLE,Carole,Mme,,Directrice,SIL,"Préfecture, sous-préfecture",04070
"Direction régionale de l'environnement, de l'aménagement et du logement (Dréal) Auvergne-Rhône-Alpes - Unité interdépartementale Cantal, Allier et Puy-de-Dôme (Yzeure)",LABEILLE,Lional,M.,,Chef de l'unité interdépartementale,SIL,Service déconcentré,03321
"Direction régionale de l'environnement, de l'aménagement et du logement (Dréal) Auvergne-Rhône-Alpes - Unité interdépartementale Cantal, Allier et Puy-de-Dôme (Yzeure)",POUTOU,Estelle,Mme,,Adjointe,SIL,Service déconcentré,03321
Centre interentreprises de santé au travail du Tricastin - Pierrelatte,,,,,Directeur,SIL,Association d'utilité publique,26235
"Direction régionale de l'environnement, de l'aménagement et du logement (Dréal) Bourgogne-Franche-Comté - Unité interdépartementale Doubs, Haute-Saône, Territoire de Belfort (Besançon)",NASS,Franck,M.,,Chef de l'unité interdépartementale,SIL,Service déconcentré,25056
"Direction régionale de l'environnement, de l'aménagement et du logement (Dréal) Bourgogne-Franche-Comté - Unité interdépartementale Doubs, Haute-Saône, Territoire de Belfort (Besançon)",BARTZ,Yvan,M.,,Adjoint,SIL,Service déconcentré,25056
"Direction régionale de l'environnement, de l'aménagement et du logement (Dréal) Bourgogne-Franche-Comté - Unité interdépartementale Doubs, Haute-Saône, Territoire de Belfort (Besançon)",MEYNADIER,Valérie,Mme,,Adjointe,SIL,Service déconcentré,25056
Délégué régional à la vie associative (DRVA) - La Réunion,SEVAT-DENUET,Tanguy,M.,,Délégué régional à la vie associative,SIL,Service déconcentré,97411
Agence régionale pour l’amélioration des conditions de travail (Aract) - Pays de la Loire,DOREAU,Frédéric,M.,,Directeur régional,SIL,Établissement public,49020
"Direction de la citoyenneté, de la légalité et des collectivités locales - Aube",,,,,Directeur,SIL,"Préfecture, sous-préfecture",10387
Secrétariat général aux affaires départementales - Yonne,RENAUD,Frédéric,M.,,Chef de service,SIL,"Préfecture, sous-préfecture",89024
Archives départementales - Aisne,BAUMARD,Raphaël,M.,,Directeur,SIL,Collectivité locale,02408
"Direction Attractivité, rayonnement et marques régionales (ARMR)",PAGES,Emily,Mme,,Directrice,SIL,Collectivité locale,31555
"Direction Attractivité, rayonnement et marques régionales (ARMR)",BLONDIAU,Laurent,M.,,Directeur général délégué,SIL,Collectivité locale,31555
"Direction Attractivité, rayonnement et marques régionales (ARMR)",PRAT,Laure,Mme,,"Directrice Rayonnement, attractivité, influence et développement",SIL,Collectivité locale,31555
"Direction Attractivité, rayonnement et marques régionales (ARMR)",KNIBIEHLY,Igor,M.,,Directeur Valorisation des politiques publiques régionales,SIL,Collectivité locale,31555
Subdivision administrative - Îles du Vent,PUSSIAU,Marianne-Frédérique,Mme,administratrice de la ville de Paris,Cheffe de la subdivision,SIL,"Préfecture, sous-préfecture",98735
Service d’aide médicale urgente (Samu) - Haute-Marne,BAILLY,Bénédicte,Mme,,Cheffe de service,SIL,Établissement public,52121
"Direction de l'économie, de l'emploi, du travail et des solidarités (DEETS) - Martinique",DECOMPOIS,Yannick,M.,attaché d'administration de l'Etat hors classe,Directeur général,SIL,Service déconcentré,97209
"Direction de l'économie, de l'emploi, du travail et des solidarités (DEETS) - Martinique",MAMBERT,Miguelle,M.,attachée d'administration de l'Etat hors classe,Directrice déléguée,SIL,Service déconcentré,97209
"Direction de l'économie, de l'emploi, du travail et des solidarités (DEETS) - Martinique",BELHUMEUR,Viviane,Mme,directrice du travail,"Directrice adjointe, pôle Politique du travail",SIL,Service déconcentré,97209
"Direction de l'économie, de l'emploi, du travail et des solidarités (DEETS) - Martinique",,,,,"Directeur adjoint, pôle Concurrence, consommation, répression des fraudes et métrologie",SIL,Service déconcentré,97209
"Direction de l'économie, de l'emploi, du travail et des solidarités (DEETS) - Martinique",ALI SOUDJA,Moufida,Mme,attachée principale territoriale,"Directrice adjointe, pôle Entreprises, emploi, économie",SIL,Service déconcentré,97209
"Direction de l'économie, de l'emploi, du travail et des solidarités (DEETS) - Martinique",,,,,Secrétaire général,SIL,Service déconcentré,97209
Conseil départemental - Essonne,DUROVRAY,François,M.,,Président,SIL,Collectivité locale,91228
Conseil départemental - Essonne,EGRETIER,François-Gilles,M.,,Directeur de la communication,SIL,Collectivité locale,91228
Conseil départemental - Essonne,LANGLET,Bertrand,M.,,Directeur général des services (DGS),SIL,Collectivité locale,91228
Conseil départemental - Essonne,MESCHIN,Sophie,Mme,,"Directrice générale adjointe Education, citoyenneté, culture et sports",SIL,Collectivité locale,91228
Conseil départemental - Essonne,GRENIER,Isabelle,Mme,,Directrice générale adjointe Solidarités,SIL,Collectivité locale,91228
Conseil départemental - Essonne,CORRIUS,Charlotte,Mme,,Directrice générale adjointe Territoires et mobilités,SIL,Collectivité locale,91228
Conseil départemental - Essonne,RUYSSCHAERT,Gilles,M.,,"Directeur général adjoint Equipements, environnement",SIL,Collectivité locale,91228
Conseil départemental - Essonne,LARHER,Hervé,M.,,Directrice générale adjointe Accompagnement et ressources,SIL,Collectivité locale,91228
Conseil départemental - Alpes-de-Haute-Provence,BAREILLE,Eliane,Mme,,Présidente,SIL,Collectivité locale,04070
Conseil départemental - Alpes-de-Haute-Provence,CARLIER,Bruno,M.,,Directeur général des services (DGS),SIL,Collectivité locale,04070
Conseil départemental - Alpes-de-Haute-Provence,LE NY,Laurent,M.,,Directeur général adjoint du pôle Modernisation et performance,SIL,Collectivité locale,04070
Conseil départemental - Alpes-de-Haute-Provence,BILLAND,Jean-Luc,M.,,"Directeur général adjoint du pôle Solidarités, collèges, culture et sports",SIL,Collectivité locale,04070
Conseil départemental - Alpes-de-Haute-Provence,LE GALL,Didier,M.,,Directeur général adjoint du pôle mobilité et aménagement durable,SIL,Collectivité locale,04070
Direction interrégionale de la sécurité de l'aviation civile (DSAC-SO) - Sud-Ouest,,,,,Directeur,SIL,Service déconcentré,33281
"Direction régionale de l'environnement, de l'aménagement et du logement (Dréal) Nouvelle-Aquitaine - Unité interdépartementale Creuse, Corrèze et Haute-Vienne (Guéret)",ROUGET,Benoît,M.,,Chef de l'unité interdépartementale,SIL,Service déconcentré,23096
Secrétariat général de la préfecture - Maine-et-Loire,YEDDOU,Raymond,M.,administrateur de l'État,Secrétaire général,SIL,"Préfecture, sous-préfecture",49007
Délégation militaire départementale (DMD) - Alpes-de-Haute-Provence,BIASOTTO,Éric,M.,lieutenant-colonel,Délégué militaire départemental,SIL,Service déconcentré,04070
Direction de la citoyenneté et de la légalité (DCL) - Var,,,,,Directeur,SIL,"Préfecture, sous-préfecture",83137
Direction de la citoyenneté et de la légalité (DCL) - Var,RIVIECCIO,Thibaud,M.,,Chef du bureau des élections et de la réglementation générale,SIL,"Préfecture, sous-préfecture",83137
Direction de la citoyenneté et de la légalité (DCL) - Var,GARENTE,Lionel,M.,,Chef du bureau du contrôle de légalité et de l'intercommunalité,SIL,"Préfecture, sous-préfecture",83137
Direction de la citoyenneté et de la légalité (DCL) - Var,SCHULER,Viviane,Mme,,Cheffe du bureau des finances locales,SIL,"Préfecture, sous-préfecture",83137
Conseil départemental - Lozère,SUAU,Laurent,M.,,Président,SIL,Collectivité locale,48095
Conseil départemental - Lozère,GAILLARD,Caroline,Mme,,Directrice de la communication,SIL,Collectivité locale,48095
Conseil départemental - Lozère,LEGRAND,Jérôme,M.,,Directeur général des services (DGS),SIL,Collectivité locale,48095
Conseil départemental - Lozère,,,,,Directrice générale adjointe Solidarités territoriales,SIL,Collectivité locale,48095
Conseil départemental - Lozère,ROCHETTE,Grégory,M.,,Directeur général adjoint Infrastructures départementales,SIL,Collectivité locale,48095
Conseil départemental - Lozère,FAYOL,Nadège,Mme,,Directrice générale adjointe Ressources internes,SIL,Collectivité locale,48095
Conseil départemental - Lozère,POUZET-ROBERT,Émilie,Mme,,Directrice générale adjointe Solidarité,SIL,Collectivité locale,48095
Unité départementale de l'architecture et du patrimoine (UDAP) - Seine-Maritime,LELIÈVRE,Brigitte,Mme,architecte et urbaniste générale de l'État,"Cheffe du service, architecte des Bâtiments de France",SIL,Service déconcentré,76540
Association interprofessionnelle des services médicaux du travail - Cambrai,BOQUET,Anne,Mme,,Directrice,SIL,Association d'utilité publique,59122
Cour administrative d'appel - Toulouse,MOUTTE,Jean-François,M.,conseiller d'État,Président,SIL,Juridiction,31555
"Direction de la  citoyenneté, de la légalité et du développement territorial - Pyrénées-Atlantiques",ABADIE,Pierre,M.,,Directeur,SIL,"Préfecture, sous-préfecture",64445
Centre hospitalier universitaire (CHU) - Poitiers,COSTA,Anne,Mme,directrice d'hôpital,Directrice générale,SIL,Établissement public,86194
Centre hospitalier universitaire (CHU) - Poitiers,DESHORS,Guillaume,M.,,Directeur général adjoint,SIL,Établissement public,86194
Centre hospitalier universitaire (CHU) - Poitiers,MARET,Stéphan,M.,,Directeur de la communication et du mécénat,SIL,Établissement public,86194
Direction interdépartementale de la police nationale (DIPN) - Isère,CHAPPA,Jérôme,M.,contrôleur général des services actifs de la police nationale,Directeur interdépartemental de la police nationale,SIL,Service déconcentré,38185
Service départemental d'incendie et de secours (SDIS) - Aveyron,LECOQ,Mickaël,M.,colonel de sapeurs-pompiers hors classe,Directeur départemental,SIL,Établissement public,12202
"Direction régionale de l'environnement, de l'aménagement et du logement (Dréal) Grand Est - Unité interdépartementale Meurthe-et-Moselle et Meuse (Nancy)",FUHRER,Anne-Laure,Mme,,Cheffe de l'unité départementale,SIL,Service déconcentré,54395
Archives départementales - Loir-et-Cher,LEBOURGEOIS,Anne-Élyse,Mme,conservatrice du patrimoine,Directrice,SIL,Collectivité locale,41018
Direction départementale des finances publiques (DDFIP) - Pyrénées-Orientales,DENY,Xavier,M.,administrateur de l'État,Directeur départemental,SIL,Service déconcentré,66136
"Direction départementale de l'emploi, du travail, des solidarités et de la protection des populations (DDETSPP) - Aube",DLÉVAQUE,Laurent,M.,inspecteur de l'action sanitaire et sociale hors classe,Directeur départemental,SIL,Direction départementale interministérielle,10387
"Direction départementale de l'emploi, du travail, des solidarités et de la protection des populations (DDETSPP) - Aube",JANY,Eric,M.,directeur du travail,Directeur départemental adjoint,SIL,Direction départementale interministérielle,10387
"Direction départementale de l'emploi, du travail, des solidarités et de la protection des populations (DDETSPP) - Aube",LUPOSELLA,Francesco,M.,inspecteur de la santé publique vétérinaire,Directeur départemental adjoint,SIL,Direction départementale interministérielle,10387
"Service départemental à la jeunesse, à l'engagement et aux sports (SDJES) - Indre-et-Loire",FRADON,Yann,M.,,Chef du service départemental,SIL,Service déconcentré,37261
Société d'aménagement foncier et d'établissement rural (Safer) - Meurthe-et-Moselle,VALLON,Romuald,M.,,Chef du service départemental,SIL,Association d'utilité publique,54304
Groupement de gendarmerie départementale - Haute-Vienne,CLOITRE,Dorothée,Mme,colonelle,Commandante du groupement,SIL,Service déconcentré,87085
Direction régionale des finances publiques (DRFIP) - Centre-Val de Loire et département du Loiret,GODARD,Isabelle,Mme,administratrice générale des finances publiques,Directrice régionale,SIL,Service déconcentré,45234
Direction des services départementaux de l'Éducation nationale (DSDEN) - Vienne,ALCINDOR,Nathalie,Mme,inspectrice de l'Éducation nationale,"Directrice académique des services de l'Éducation nationale, inspectrice d'académie",SIL,Service déconcentré,86194
Direction des services départementaux de l'Éducation nationale (DSDEN) - Vienne,GREVOUL,Serge,M.,,Secrétaire général,SIL,Service déconcentré,86194
Direction des services départementaux de l'Éducation nationale (DSDEN) - Vienne,ARTAUD,Frédéric,M.,,"Directeur académique adjoint des services de l'Éducation nationale, inspecteur d'académie",SIL,Service déconcentré,86194
Conseil départemental - Nord,POIRET,Christian,M.,,Président,SIL,Collectivité locale,59350
Conseil départemental - Nord,BLANQUART,Sophie,Mme,,Directeur général des services (DGS),SIL,Collectivité locale,59350
Conseil départemental - Nord,DECOURCELLE,Pierre-François,M.,,Directeur de la communication,SIL,Collectivité locale,59350
Conseil départemental - Nord,FUCHS,Pascal,M.,,Directeur général adjoint Retour à l’emploi et action sociale,SIL,Collectivité locale,59350
Conseil départemental - Nord,BUCHON,Arnaud,M.,attaché principal d'administration de l'Etat,"Directeur général adjoint, chargé de l'enfance, de la famille et de la santé",SIL,Collectivité locale,59350
Conseil départemental - Nord,ARDILLER,Pierre,M.,,Directeur général adjoint Solidarité territoriale,SIL,Collectivité locale,59350
Conseil départemental - Nord,BESSE,Laurent,M.,,Directeur général adjoint Ressources et Accompagnement,SIL,Collectivité locale,59350
Délégation militaire départementale (DMD) - Vienne,DESVERGNES,Marc,M.,lieutenant-colonel,Délégué militaire départemental,SIL,Service déconcentré,86194
Secrétariat général de la préfecture - Puy-de-Dôme,VICAT,Jean-Paul,M.,administrateur de l'État,Secrétaire général,SIL,"Préfecture, sous-préfecture",63113
Direction interdépartementale de la police nationale (DIPN) - Essonne,LUCA,Jean-Marc,M.,contrôleur général des services actifs de la police nationale,Directeur interdépartemental de la police nationale,SIL,Service déconcentré,91228
Direction du cabinet de la sécurité intérieure et de la protection civile (DCSIPC) - Essonne,,,,,Directeur des sécurités,SIL,"Préfecture, sous-préfecture",91228
Direction du cabinet de la sécurité intérieure et de la protection civile (DCSIPC) - Essonne,,,,,Chef du bureau de la sécurité intérieure et de l'ordre public (BSIOP),SIL,"Préfecture, sous-préfecture",91228
