administration,nom,prenom,civilite,grade,fonction,categorie,type_organisme,code_insee_commune
Secrétariat général du Gouvernement,MARION,Laurence,Mme,conseillère d'État,"Secrétaire générale du Gouvernement, Haute fonctionnaire de défense et de sécurité",SI,Administration centrale (ou Ministère),
Secrétariat général du Gouvernement,ODINET,Guillaume,M.,conseiller d'État,"Directeur, adjoint à la secrétaire générale du Gouvernement",SI,Administration centrale (ou Ministère),
Secrétariat général du Gouvernement,PRIVET,Marie-Noémie,Mme,première conseillère du corps des magistrats des tribunaux administratifs et cours administratives d'appel,"Conseillère juridique auprès du directeur, adjoint à la secrétaire générale du Gouvernement",SI,Administration centrale (ou Ministère),
Secrétariat général du Gouvernement,MARION,Sophie,Mme,attachée principale d'administration de l'Etat,Responsable des ressources humaines,SI,Administration centrale (ou Ministère),
Département support et appui aux transformations,LEVECQUE,Thomas,M.,ingénieur principal des études et de l'exploitation de l'aviation civile,Chef du département,SI,Administration centrale (ou Ministère),
Délégué interministériel à la mixité sociale dans l'habitat,,,,,Délégué interministériel,SI,Administration centrale (ou Ministère),
Bureau de la sécurité,PEZET,Daniel,M.,ingénieur en chef des études et techniques de l'armement,Chef du bureau,SI,Administration centrale (ou Ministère),
Administrateur général des données,,,,,Administrateur général,SI,Administration centrale (ou Ministère),
Bureau des crédits-export et des garanties à l'international - FININTER1,BRISSET,Thomas,M.,administrateur de l'État,Chef du bureau,SI,Administration centrale (ou Ministère),
Agence des participations de l'État,ZAJDENWEBER,Alexis,M.,administrateur de l'État,"Directeur général, commissaire aux participations de l'État",SI,Service à compétence nationale,
Agence des participations de l'État,,,,,Directrice générale adjointe,SI,Service à compétence nationale,
Agence des participations de l'État,JUMEL,Marine,Mme,,Cheffe du cabinet et chargée de communication,SI,Service à compétence nationale,
Agence des participations de l'État,HAUPTMANN,Boris,M.,,Chef du pôle Finance,SI,Service à compétence nationale,
Agence des participations de l'État,GUÉ,Jérémie,M.,,Chef du pôle juridique,SI,Service à compétence nationale,
Agence des participations de l'État,BENHAMOU,Emmanuelle,Mme,,Cheffe du pôle Audit et comptabilité,SI,Service à compétence nationale,
Division Synthèses générales des comptes,HEAM,Jean-Cyprien,M.,administrateur hors classe de l'INSEE,Chef de la division,SI,Administration centrale (ou Ministère),
Bureau de la recherche,RENAUD,Lionel,M.,,Chef du bureau,SI,Administration centrale (ou Ministère),
Service d'information et de relations publiques de l'armée de l'air et de l'espace - SIRPA Air et Espace,DEFLANDRE,Mathieu,M.,colonel,Chef du service,SI,Administration centrale (ou Ministère),
Service d'information et de relations publiques de l'armée de l'air et de l'espace - SIRPA Air et Espace,CHIZELLE,Valérie,Mme,colonelle,Adjointe,SI,Administration centrale (ou Ministère),
Bureau de la protection des monuments historiques,LEFEBVRE-PEREZ,Véronique,Mme,,Cheffe du bureau,SI,Administration centrale (ou Ministère),
Sous-direction des affaires financières multilatérales et du développement - MULTIFIN,BOBIN,Shanti,Mme,administratrice de l'État,Sous-directrice,SI,Administration centrale (ou Ministère),
Bureau du conseil et du contentieux administratif général,BILLARD-COMBETTES,Leslie,Mme,attachée principale d'administration de l'Etat,Cheffe du bureau,SI,Administration centrale (ou Ministère),
Sous-direction du séjour et du travail,GUINAMANT,Ludovic,M.,administrateur de l'État,Sous-directeur,SI,Administration centrale (ou Ministère),
Sous-direction du séjour et du travail,BALU,Danielle,Mme,sous-préfète,Adjointe,SI,Administration centrale (ou Ministère),
Sous-direction de la gestion et de la qualité,LAMALLE,Catherine,Mme,,Sous-directrice,SI,Administration centrale (ou Ministère),
Cellule Communication,,,,,Chef de la cellule,SI,Administration centrale (ou Ministère),
Bureau de l'expertise et du droit pénal,LE LORRAIN,Marion,Mme,magistrate,Cheffe du  bureau,SI,Administration centrale (ou Ministère),
Direction des opérations,BLANDEL,Guillaume,M.,ingénieur en chef du contrôle de la navigation aérienne,Directeur,SI,Administration centrale (ou Ministère),
Direction des opérations,KERENEUR,Romain,M.,"ingénieur en chef des ponts, des eaux et des forêts",Adjoint,SI,Administration centrale (ou Ministère),
Direction des opérations,REGNIAUD,Gérald,M.,ingénieur du contrôle de la navigation aérienne,Adjoint,SI,Administration centrale (ou Ministère),
Bureau des salons,TEULIER,Marylène,Mme,,Cheffe du bureau,SI,Administration centrale (ou Ministère),
Département écosystème numérique,KELOGLANIAN,Missak,M.,,Chef du département,SI,Administration centrale (ou Ministère),
Département écosystème numérique,DELPECH,Jean,M.,,Adjoint au chef du département en charge du numérique à l'interministériel,SI,Administration centrale (ou Ministère),
Section du traitement de l'information opérationnelle,BENOIT,Alexandra,Mme,commandante,Cheffe de la section,SI,Administration centrale (ou Ministère),
"Pôle Méthodes, qualité et compétences",MORALES,Sylvie,Mme,ingénieure principale des études et de l'exploitation de l'aviation civile,Cheffe du pôle,SI,Administration centrale (ou Ministère),
Commission Armées - Jeunesse,PARISSE,Sébastien,M.,capitaine de vaisseau,Secrétaire général,SI,"Conseil, comité, commission (organisme consultatif)",
Commission Armées - Jeunesse,LE BRUN,Pascal,M.,lieutenant-colonel,Secrétaire général adjoint,SI,"Conseil, comité, commission (organisme consultatif)",
"Bureau du Moyen-Orient, de la Turquie, de la CEI et des Balkans - REP2",MAGNAUD,François,M.,,Chef du bureau,SI,Administration centrale (ou Ministère),
Direction générale de l'offre de soins,GILARDI,Hugo,M.,administrateur de l'État,Directeur général,SI,Administration centrale (ou Ministère),
Direction générale de l'offre de soins,DURAND,Clotilde,Mme,administratrice de l'État,"Cheffe de service, adjointe à la directrice générale",SI,Administration centrale (ou Ministère),
Direction générale de l'offre de soins,,,,,"Cheffe de service, adjointe à la directrice générale",SI,Administration centrale (ou Ministère),
Direction générale de l'offre de soins,VECCHIOLI,Margaux,Mme,,Directrice du cabinet,SI,Administration centrale (ou Ministère),
Ministère des Transports,TABAROT,Philippe,M.,,Ministre,SI,Administration centrale (ou Ministère),
Bureau des partenariats et diversification des parcours individuels,SEGUIN,Arnaud,M.,attaché d'administration de l'Etat hors classe,Chef du bureau,SI,Administration centrale (ou Ministère),
Bureau des greffiers militaires,FONTAINE,Cyril,M.,officier greffier en chef,Chef du bureau,SI,Administration centrale (ou Ministère),
Bureau du système d'information achat,DUFOUR,Gilles,M.,chef de mission,Chef du bureau,SI,Administration centrale (ou Ministère),
Mission de contrôle et d'appui de la maintenance,GRATEAU,André,M.,colonel,Chef de la mission,SI,Administration centrale (ou Ministère),
Département  Ski alpin de l'ENSA,DOLE,Céline,Mme,,Responsable du département,SI,Établissement d'enseignement,
Département  Ski alpin de l'ENSA,IDESHEIM,Maxence,M.,,Adjoint,SI,Établissement d'enseignement,
Service de l'administration générale,MORVAN,Arnaud,M.,attaché principal d'administration de l'Etat,Chef du service,SI,Autorité administrative indépendante,
Service de l'administration générale,MORIN,Nathalie,Mme,,Adjointe,SI,Autorité administrative indépendante,
Service de l'administration générale,BOREL-TABAGLIO,Dorothée,Mme,,Adjointe,SI,Autorité administrative indépendante,
Direction juridique et du contentieux,TOUITOU-DURAND,Florence,Mme,,Directrice,SI,Établissement public,
Université Savoie Mont Blanc - Chambéry,GALEZ,Philippe,M.,,Président,SI,Établissement d'enseignement,
Université Savoie Mont Blanc - Chambéry,ISAAC,Véra,Mme,,Directrice de la communication,SI,Établissement d'enseignement,
Université Savoie Mont Blanc - Chambéry,GIGNOUX,Olivier,M.,,Agent comptable,SI,Établissement d'enseignement,
Haute fonctionnaire en charge de l'égalité des droits femmes-hommes,DRIF-LAMIA,Naida,Mme,,Haute fonctionnaire à l'égalité entre les femmes et les hommes et à la diversité,SI,Administration centrale (ou Ministère),
Mission de conseil en mobilité et parcours professionnels,THIBAULT,Pascale,Mme,,Cheffe de la mission,SI,Administration centrale (ou Ministère),
Direction du service de l'énergie opérationnelle,MARGOTIN,Luc,M.,ingénieur général,Directeur,SI,Administration centrale (ou Ministère),
Direction du service de l'énergie opérationnelle,BLANCHARD,Jean-Philippe,M.,ingénieur général des essences,Directeur adjoint,SI,Administration centrale (ou Ministère),
"Département soutien, accompagnement et animation des réseaux",DOLEAC,Alain,M.,,"Chef du département soutien, accompagnement et animation des réseaux",SI,Administration centrale (ou Ministère),
"Département soutien, accompagnement et animation des réseaux",BARTHELEMY,Jean-Louis,M.,,Adjoint au chef du département,SI,Administration centrale (ou Ministère),
Secrétariat général,DIGNE,Christophe,M.,ingénieur général des mines,Secrétaire général,SI,"Conseil, comité, commission (organisme consultatif)",
Bureau Politique des ressources humaines,,,,,Chef du bureau,SI,Administration centrale (ou Ministère),
Département de la coopération internationale opérationnelle,BERTOUX,Corinne,Mme,commissaire générale,Cheffe du département,SI,Administration centrale (ou Ministère),
Département de la coopération internationale opérationnelle,PEYRATOU,Ingrid,Mme,commissaire divisionnaire,Adjointe,SI,Administration centrale (ou Ministère),
Comité de suivi des retraites,VON LENNEP,Franck,M.,conseiller maître à la Cour des comptes,Président,SI,"Conseil, comité, commission (organisme consultatif)",
Mission Performance,ESCANDE-VILBOIS,Sylvie,Mme,inspectrice générale de l'administration,Responsable de la mission,SI,Administration centrale (ou Ministère),
Mission Performance,MOTARD,Christine,Mme,attachée d'administration de l'Etat hors classe,Adjointe,SI,Administration centrale (ou Ministère),
Direction du SIRH ministériel,BOUCLY,Frédéric,M.,administrateur de l'État,Directeur,SI,Administration centrale (ou Ministère),
Direction du SIRH ministériel,HALLA,Yacine,M.,,Adjoint,SI,Administration centrale (ou Ministère),
Sous-direction du conseil juridique,TRÉMOLIÈRE,Alexandre,M.,maître des requêtes au Conseil d'État,Sous-directeur,SI,Administration centrale (ou Ministère),
Inspection générale de la justice,NOEL,Stéphane,M.,conseiller à la Cour de cassation,Chef de l'inspection,SI,Administration centrale (ou Ministère),
Inspection générale de la justice,ANCEL,Nathalie,Mme,inspectrice générale de la justice,Adjointe,SI,Administration centrale (ou Ministère),
Inspection générale de la justice,MARTINS,Marie-Rolande,Mme,,Secrétaire générale,SI,Administration centrale (ou Ministère),
Inspection générale de la justice,BELLEAU,Guilaine,Mme,,Secrétaire générale adjointe,SI,Administration centrale (ou Ministère),
Service national des oléoducs interalliés,HENRY,Nicolas,M.,ingénieur général des essences,Directeur,SI,Administration centrale (ou Ministère),
Service national des oléoducs interalliés,VILLARDI DE MONTLAUR,Raoul,M.,ingénieur en chef,Adjoint,SI,Administration centrale (ou Ministère),
"Département des concours enseignants du second degré des sciences, EPS, arts et psychologues de l'éducation nationale - DGRH D2-4",GORIAU,Emmanuel,M.,"administrateur de l'Éducation nationale, de l'enseignement supérieur et de la recherche",Chef du département,SI,Administration centrale (ou Ministère),
Bureau de la santé et de la qualité de vie au travail,CALI,Enrico,M.,conseiller d’administration du ministère de la justice,Chef du bureau,SI,Administration centrale (ou Ministère),
Commission supérieure de codification,STIRN,Bernard,M.,conseiller d'État honoraire,Vice-président,SI,Administration centrale (ou Ministère),
Commission supérieure de codification,BOUCHER,Julien,M.,conseiller d'État,Rapporteur général,SI,Administration centrale (ou Ministère),
Commission supérieure de codification,MALLARD,Philippe,M.,conseiller référendaire à la Cour de cassation,Rapporteur général adjoint,SI,Administration centrale (ou Ministère),
Commission supérieure de codification,,,,,Secrétaire général,SI,Administration centrale (ou Ministère),
École nationale supérieure de sécurité sociale,MARDINÉ,Gérard,M.,,Président du conseil d'administration,SI,Établissement public,
École nationale supérieure de sécurité sociale,LIBAULT,Dominique,M.,conseiller d'État,Directeur général,SI,Établissement public,
École nationale supérieure de sécurité sociale,RAPPY,Marie,Mme,,Directrice adjointe et directrice de la stratégie et des relations institutionnelles,SI,Établissement public,
École nationale supérieure de sécurité sociale,JOSSERAND,Angélique,Mme,,Directrice adjointe et directrice de la stratégie et des relations institutionnelles,SI,Établissement public,
École nationale supérieure de sécurité sociale,L'HOSPITAL,Franck,M.,,Agent comptable,SI,Établissement public,
École nationale supérieure de sécurité sociale,CASASSUS,Aude,Mme,,Directrice des ressources,SI,Établissement public,
École nationale supérieure de sécurité sociale,MALLARD-DESGOUTTE,Virginie,Mme,,Directrice de la formation initiale,SI,Établissement public,
École nationale supérieure de sécurité sociale,GENY,Benjamin,M.,,Directeur de la formation continue,SI,Établissement public,
École nationale supérieure de sécurité sociale,EMÉRIAU,Arnaud,M.,,Directeur de l'Institut des hautes études en protection sociale et directeur de la stratégie internationale,SI,Établissement public,
Arcom - Lille,VERLEY-CHEYNEL,Geneviève,Mme,conseillère d'État,Présidente,SI,Autorité administrative indépendante,
Arcom - Lille,PINOLI,Nathalie,Mme,,Secrétaire générale,SI,Autorité administrative indépendante,
"Bureau Affectation, mobilité et carrière des catégories A+ et A",SICARD,Valérie-Laure,Mme,administratrice de l'État,Cheffe du bureau,SI,Administration centrale (ou Ministère),
"Pôle des chargés de mission - Secteur justice, culture, poste et technologies de la communication",FOUQUET,Flavien,M.,magistrat judiciaire,Chargé de mission,SI,Administration centrale (ou Ministère),
"Pôle des chargés de mission - Secteur justice, culture, poste et technologies de la communication",COILLARD,Edouard,M.,,Chargé de mission adjoint,SI,Administration centrale (ou Ministère),
Département des politiques culturelles,BIARD,Héloïse,Mme,,Cheffe du département,SI,Administration centrale (ou Ministère),
Département des politiques culturelles,ETIENNE-HERBELLEAU,Sophie,Mme,attachée principale d'administration de l'Etat,Adjointe,SI,Administration centrale (ou Ministère),
Sous-direction de la langue française et de l'éducation,GÉRARDIN,Clarisse,Mme,administratrice de l'État,Sous-directrice,SI,Administration centrale (ou Ministère),
Sous-direction de la langue française et de l'éducation,SALABERT,Juliette,Mme,,Adjointe,SI,Administration centrale (ou Ministère),
Département Traitement des contentieux,RIOMET,Nathalie,Mme,inspectrice générale de la justice,Responsable,SI,Administration centrale (ou Ministère),
Service Investigations,,,,,Rapporteur permanent,SI,Autorité administrative indépendante,
Bureau des affaires juridiques du service central d'état civil,NACRY,David,M.,secrétaire des affaires étrangères,Chef du bureau,SI,Administration centrale (ou Ministère),
Bureau Conduite des projets des systèmes d'information,GLEDEL,Philippe,M.,,Chef du bureau,SI,Administration centrale (ou Ministère),
Pôle de la documentation,MEYER,Laurence,Mme,,Cheffe du pôle,SI,Administration centrale (ou Ministère),
Pôle de la documentation,TOURNEUX,Charlotte,Mme,,Adjointe,SI,Administration centrale (ou Ministère),
Bureau de la gestion des personnels de surveillance et des conseillers pénitentiaires d'insertion et de probation,MEZIANE,Nadia,Mme,administratrice de l'État,Cheffe du bureau,SI,Administration centrale (ou Ministère),
Mission du développement et de l'enrichissement de la langue française,CROUZET-DAURAT,Pierrette,Mme,,Cheffe de la mission,SI,Administration centrale (ou Ministère),
