"administration","fonction"
"Ministère des Armées et des Anciens combattants","Ministre"
"Ministère de l’Économie, des Finances et de la Souveraineté industrielle, énergétique et numérique","Ministre"
"Ministère de la Justice","Garde des Sceaux, ministre"
"Premier ministre","Premier ministre"
"Ministère de l'Europe et des Affaires étrangères","Ministre"
"Ministère de l'Intérieur","Ministre"
